methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	methyl.fdr
chr1.2269441	0.000158180182713702	0.246004706809572	0.76410065626173	0.919518919770346	0.111972817898723	0.00771339237302499	1.2734344211589e-05	6.82703779369176	-0.247719089354435	-0.0638254151129456	0.0022635123177911	0.0291003871809812	-0.497346530718878	4.61886934495694	0	0	82	4	78	1	0.999999999999994	.	chr1	2269441	SKI	SKI	HAVANA	1	0.999977865727334
chr1.27550560	0.00013176595668369	0.860465932525759	0.953992992218862	0.312910494135681	0.037438570152375	0.00350162072329128	0.0657843926497496	-11.0021054078611	-0.0376568817690816	0.0125145015064633	0.0228077015033136	0.0382708590945473	-0.550453762135547	1.98656262852258	9	0	74	46	28	0	0.904889362799062	.	chr1	27550560	AHDC1	AHDC1	HAVANA	9	0.999977865727334
chr1.110068383	0.000598215111007785	0.242774272455978	0.719076888641187	0.24092389583705	0.425649038082876	0.00289590320108645	0.00209215429411875	-5.76150343705051	-0.259538082467501	-0.0794861136369267	-0.0271857205605279	0.0160246681934048	-0.580672666625338	3.13615259440929	0	9	73	0	82	1	0.999999999999994	.	chr1	110068383	STRIP1,ALX3	STRIP1,ALX3	HAVANA,HAVANA	1	0.999977865727334
chr1.20704718	0.000329922954514696	0.495921993384381	0.948424152739043	0.631710897031034	0.513051247762191	0.000595058668707124	0.000142610463432722	-5.373216300811	-0.146287587388002	0.0139817570921808	-0.0109096398349697	0.0124667900796149	-0.661850550621826	3.9194108146433	2	0	81	12	69	0	0.539817807816624	.	chr1	20704718	KIF17	KIF17	HAVANA	2	0.999977865727334
chr1.114695953	0.00063728313634611	0.732240187909418	0.770110036237574	0.462119891146411	0.0410542103896825	6.23990609170048e-05	6.7561824790052e-05	-2.03026764266573	0.0795091511094824	0.0691062462537655	-0.0173130057041885	0.0391329734461452	-0.84133853195131	4.1477543912262	5	1	77	0	78	0	0.274048029103129	.	chr1	114695953	.	AMPD1,RN7SL432P	HAVANA,ENSEMBL	5	0.999977865727334
chr1.16648144	0.000269171590145773	0.149844236277106	0.610014964649741	0.422168355190851	0.889953142380294	0.0186284819194039	7.31892573966976e-05	-15.6310890555622	-0.337973019578402	-0.11606138102229	0.0190403983061451	0.00274691192948384	-0.471947418375139	4.05803899338339	0	19	55	0	74	9	0.135379507188981	.	chr1	16648144	CROCCP2,MST1P2	CROCCP2,MST1P2	HAVANA,HAVANA	9	0.999977865727334
chr1.61654213	0.000170001984434554	0.71465016976417	0.697319251424506	0.761772396414795	0.0491806441075678	0.000197381859396653	0.00246410271373928	7.66459104657992	-0.0805103803862837	-0.0895929275088049	-0.00692469163416558	0.0386637802682589	-0.766257796902491	3.1122413007494	4	0	74	36	38	5	0.069909943295893	.	chr1	61654213	AC099791.1	AC099791.1	HAVANA	9	0.999977865727334
chr1.16613553	0.000219588582732519	0.398117910351748	0.595751983637433	0.274142051919565	0.0277253870676247	0.000741546397301395	0.000539293714134139	-118.257312600191	-0.177670910136717	-0.114580233563616	-0.0245461293709568	0.0416112001115988	-0.647097387878837	3.4051686308506	0	58	23	0	81	2	0.206288568909783	.	chr1	16613553	NBPF1	NBPF1,AL137798.1,CROCCP2	HAVANA,HAVANA,HAVANA	2	0.999977865727334
chr1.2345530	0.000270352565037589	0.558936228529165	0.489422022839942	0.380142732090107	0.218084099745242	0.00528922488932791	0.0047176722582898	5.08559134937987	-0.130572824012459	-0.159653206165039	-0.0205058799378515	0.0237940294280521	-0.556106403423778	2.98582890462214	9	0	74	31	43	0	0.904889362799062	.	chr1	2345530	MORN1	MORN1,AL513477.1	HAVANA,HAVANA	9	0.999977865727334
chr1.34654422	0.000152356736925137	0.711442766245127	0.64666868863039	0.746249516641059	0.0700121266516035	0.0001824676830391	8.1208482903295e-06	-2.60619336223776	-0.0796434975578865	0.100416423991954	-0.00730273773639805	0.0338754139962076	-0.744940934764931	4.76216841914923	0	0	83	0	83	0	1	.	chr1	34654422	AC099565.1	AC099565.1	HAVANA	0	0.999977865727334
chr1.58623814	9.06251485127094e-05	0.325650696867477	0.831572717860016	0.881636526873221	0.0532949973901374	0.0118634911287181	0.000184187409347056	-3.36689251696521	-0.208523540013609	-0.0481637124399833	-0.00339084686963144	0.0363199004886893	-0.483753766234371	3.68331362479684	8	0	75	9	66	0	0.0162418991618564	.	chr1	58623814	.	.	.	8	0.999977865727334
chr1.209232427	0.000642608006837608	0.368849900312549	0.883918737137391	0.926887751433392	0.103757986622001	0.00127012499185328	0.00013452177860248	3.81276937832166	-0.195903672803863	0.032227569610374	-0.00212605613017178	0.0309611027717867	-0.630712674537996	3.92533571027608	0	0	83	3	80	0	1	.	chr1	209232427	AC092810.3,AC092810.1	AC092810.3,AC092810.1	HAVANA,HAVANA	0	0.999977865727334
chr1.1455549	0.000645813624686954	0.150306562692087	0.881622366066915	0.334372507621379	0.153385799650265	0.0024903774014743	0.00101820083270441	5.77193781300795	-0.319253623598428	-0.0330512244696269	-0.0225157857992148	0.027319277114885	-0.587865129046984	3.44267451471454	3	0	80	21	59	0	0.999999999999993	.	chr1	1455549	ATAD3C	ATAD3C	HAVANA	3	0.999977865727334
chr1.77018699	0.000381655681654253	0.663213021302649	0.823426524450485	0.598840137071075	0.0672583697430182	0.00227153175803574	9.71071379793089e-05	-2.46245765105266	-0.100748087167936	0.0501898268588988	-0.0125939514230277	0.035514949606127	-0.61889812008558	4.06934140311783	3	2	77	0	79	1	0.539817807816635	.	chr1	77018699	ST6GALNAC5	ST6GALNAC5	HAVANA	4	0.999977865727334
chr1.91535686	0.000617088310358957	0.748900794904276	0.423501352537175	0.595429410409575	0.144411688009914	0.0101974523545613	0.000166621983763601	5.48647763124683	-0.0686122727006726	-0.174449660972202	-0.011970346609371	0.0271825333245069	-0.49107566791373	3.75846528706797	0	0	81	20	61	2	0.999999999999975	.	chr1	91535686	.	WDR82P2	HAVANA	2	0.999977865727334
chr1.92425744	2.22591956780448e-05	0.561168787828797	0.608107408454639	0.340040533985986	0.0279966930831854	0.000179242436204197	8.63521380781123e-05	-2.34672972164775	-0.123811437914883	-0.110116489174012	-0.0211988737400103	0.0407257794718669	-0.73460425043983	3.99011058365314	2	0	81	0	81	0	0.539817807816624	.	chr1	92425744	.	.	.	2	0.999977865727334
chr1.41661780	0.000122146221024079	0.832956144746243	0.585249263876575	0.911696137122278	0.0652115168878356	0.0010702649927853	3.92033551640843e-05	17.6055559351464	0.0457812192733236	0.119390274922609	0.00250069815516429	0.0347439857204982	-0.632053647890632	4.19623165966366	1	59	22	0	81	1	0.539817807816624	.	chr1	41661780	HIVEP3	HIVEP3	HAVANA	2	0.999977865727334
chr1.2523199	0.000295757667566357	0.507668792968138	0.729812682851692	0.900179586830626	0.118915909387268	0.0013697741743902	7.18787118994349e-05	3.01050203951875	-0.143044237941494	-0.0750972745016771	-0.00287117128286429	0.0294060908859051	-0.619167376262175	4.07222935158439	0	0	83	10	73	0	1	.	chr1	2523199	PANK4	PANK4	HAVANA	0	0.999977865727334
chr1.247342884	1.39075133283669e-05	0.191969947392356	0.286492795659026	0.364662667920029	0.471475717506101	0.0322496376319481	0.0145148667100633	4.76240512145991	-0.265535046538663	-0.219347161879534	0.0191268704027279	0.012332546752705	-0.379824623816209	2.61914915885784	14	0	69	21	48	0	0.665613176923506	.	chr1	247342884	AC104335.1	AC104335.1	HAVANA	14	0.999977865727334
chr1.151910346	0.000373751124698741	0.588705083698961	0.815677248914356	0.282739195886575	0.131977521925936	0.00608209900158613	0.000841609855082536	-3.74953923853906	-0.123776192472246	0.05329007715499	-0.0255769693831654	0.029325071544633	-0.561439344368819	3.55421698782656	6	10	66	0	76	1	0.551776896240237	.	chr1	151910346	.	THEM4	HAVANA	7	0.999977865727334
chr1.93889084	0.000109076231132939	0.18771757767988	0.0536136849510025	0.720049946734023	0.516409175097796	0.00221125482015117	0.000328551054383964	-3.45210459028816	-0.300548427549726	-0.450825319655821	-0.00807423239866241	0.0121894903307988	-0.621943114558527	3.59237506330408	10	1	71	0	72	1	0.716270285358374	.	chr1	93889084	GCLM	GCLM	HAVANA	11	0.999977865727334
chr1.21830953	5.82651274117965e-05	0.629932583302884	0.818370349487851	0.612056529454343	0.59382234655984	0.0216248030508816	0.000167833752020743	4.59863698490982	-0.103086780246638	0.0512922000468033	-0.0112404145340549	0.0100684895856174	-0.449225697219831	3.77691189250262	9	0	74	19	55	0	0.448231490051277	.	chr1	21830953	HSPG2	HSPG2	HAVANA	9	0.999977865727334
chr1.182057300	0.000355966283484963	0.828084876154138	0.594460505533334	0.875137289854571	0.58596915763105	0.00636560110752363	0.000577665528179053	-15.3360838474129	-0.0536673475882163	-0.130913472569317	0.00381855575823158	0.0108142605572137	-0.593261521469384	4.02911128616258	8	50	16	0	66	9	0.267407129068985	.	chr1	182057300	ZNF648	ZNF648	HAVANA	17	0.999977865727334
chr1.3645428	0.000555515404965659	0.729068324516125	0.560984918980306	0.91423762975822	0.0512491562384391	0.0123909937134208	0.00343046594246254	2.812430748115	-0.0788789383109702	0.13835123308352	0.00257393442481612	0.0394579549564789	-0.514452620056006	3.39960751815743	11	0	72	9	63	0	0.518724681990118	.	chr1	3645428	WRAP73	WRAP73	HAVANA	11	0.999977865727334
chr1.43168948	0.000241573231920494	0.739838543184446	0.626227416641928	0.92743337988739	0.0573259166704162	0.00335484152166599	0.00938044123279825	-5.04629640398755	0.0730453821226193	0.107668546561057	-0.00202988766431745	0.0362623075061268	-0.571864124198711	2.77074290248982	5	0	78	10	68	0	0.121523760990237	.	chr1	43168948	EBNA1BP2	EBNA1BP2,MIR6733,CFAP57	HAVANA,ENSEMBL,HAVANA	5	0.999977865727334
chr1.11701724	0.00027043998565857	0.837956809176747	0.626210802169803	0.478090937865211	0.0228812262322698	0.000607865865156762	0.000481746804611737	-2.24862869530018	0.0458831101702987	0.109069073081254	-0.0162727560571503	0.0444480875745713	-0.683537511399595	3.6172001077407	3	3	77	0	80	0	0.769908903908311	.	chr1	11701724	DRAXIN	DRAXIN	HAVANA	3	0.999977865727334
chr1.108742498	0.000242277544124739	0.149626909108291	0.21332737130515	0.666344233070971	0.267117910677074	0.000970576993288188	0.0102200754594842	3.15102282132942	-0.325208653293883	-0.296154695905915	-0.00999474894315092	0.0212868645718264	-0.659682557591462	2.80010327517352	9	0	74	4	70	0	0.756516768765477	.	chr1	108742498	FNDC7	FNDC7,STXBP3	HAVANA,HAVANA	9	0.999977865727334
chr1.3313840	0.000545931683553715	0.552175725247265	0.927478492053662	0.517625231350536	0.0596454419313805	0.00186094628210363	6.54522693916955e-05	5.40491667567955	-0.129534114430318	0.0201991402758211	-0.0150005680260325	0.0358857327148724	-0.60799302014622	4.14467610468279	1	26	56	0	82	0	0.65060240963856	.	chr1	3313840	PRDM16,AL354743.2	PRDM16,AL590438.1,AL354743.2	HAVANA,HAVANA,HAVANA	1	0.999977865727334
chr1.36387355	0.000100801566526458	0.515487971007226	0.331997758117074	0.866218100276097	0.170391396472787	0.000823827520160856	0.00137638163473003	3.94192784623574	-0.139554291818905	-0.222113498960789	0.00389873009773181	0.0261460017131393	-0.657457145244211	3.4730866314412	12	15	56	0	71	0	0.464406096802529	.	chr1	36387355	.	STK40,LSM10	HAVANA,HAVANA	12	0.999977865727334
chr1.16986239	0.000380740240729602	0.86474381721941	0.84262571321665	0.38600812914471	0.0150830444390712	0.00101656293590763	0.000255913821211543	3.52406675126949	-0.0389945861843625	-0.0455320147579754	-0.0197863094117225	0.0497184714874924	-0.67316967188289	3.86016643026854	7	0	75	17	58	1	0.809778725597997	.	chr1	16986239	AL049569.1,ATP13A2	AL049569.1,ATP13A2	HAVANA,HAVANA	8	0.999977865727334
