methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.228458408	0.780099723598172	0.000233672179075756	0.6488469129116	0.63487130866563	2.62548534771928e-05	0.0090800469914227	0.00615568990250814	0.000204977790883562	-0.000197265185641328	-0.000255332062282665	0.00396200642228785	-0.000512109811051733	5.47417303478799e-05	1	7	8	76	15	0	91	0.0247205527873524	.	HIST3H2BB	HIST3H2A,HIST3H2BB,MIR4666A	HAVANA,HAVANA,ENSEMBL	0.999998861280332	0.159447510438558	0.999989862604799	0.999952590254861	0.0662183243375162
chr1.2051619	0.127222731880265	4.30340699956822e-05	0.0920552746509982	0.344750787100606	5.05917464314831e-05	-0.107561073695664	0.162220245354644	0.00209480047653024	0.00844170704485045	-0.00566725897246259	0.107127922455905	0.0152302346559951	0.00253992494651514	16	3	19	27	53	0	80	0.531023612727234	.	PRKCZ	AL391845.1,PRKCZ	HAVANA,HAVANA	0.987030580206997	0.0790835929101689	0.997141421322541	0.998322991398967	0.0888093151715041
chr1.16699889	0.992585108705983	5.79493450417963e-05	0.964147577667606	0.884252109797284	3.26908776911206e-06	0.0444353100904773	0.0291797270016548	1.80269766442559e-05	6.38848901742616e-05	-0.000520380008245833	0.0459264193411175	0.0154950801435162	-0.000141568199442843	9	4	13	49	37	0	86	0.655391908329984	.	ESPNP	ESPNP,AL021920.1	HAVANA,HAVANA	0.999998861280332	0.0914725607821788	0.999989862604799	0.999952590254861	0.0225873773421187
chr1.44776688	0.270538134023464	0.00053082049853275	0.832872033097172	0.0567256136584361	4.69152022235238e-05	0.00275033573517618	0.0350723174473565	0.00195734704649801	0.00238074904159198	0.000653225308350899	0.0632732053026055	0.0515565182840527	0.00304308496248586	6	8	14	54	31	0	85	0.00319365927432884	.	RPS8	AL592166.1,RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,SNORD38B,RPS15AP11	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA	0.999998861280332	0.213422676005796	0.999989862604799	0.966510647381045	0.0866921682426826
chr1.44776685	0.124458506350423	1.19221946354784e-06	0.216817629452328	0.102993929641414	3.78454844757298e-07	-0.0967668493851079	0.0250076349055795	0.00142442441060312	0.00758066683232232	-0.000320129324495909	0.0974350652260755	0.0171242815914104	0.003379339970367	5	0	5	24	70	0	94	0.999999999999976	.	RPS8	AL592166.1,RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,SNORD38B,RPS15AP11	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA	0.985846354916355	0.0137099652384641	0.999989862604799	0.98103265075909	0.00732168983210327
chr1.20343289	0.555206347975889	0.000252747781263729	0.729358047842122	0.224006251986177	2.44856280869721e-05	0.0233575703257982	-0.00463271021941839	0.000371341265474275	-0.000214510650839919	0.000570621067274856	0.0179723594006465	0.0101521497328753	0.000508522855308744	2	9	11	69	19	0	88	0.4798036797767	.	VWA5B1	VWA5B1	HAVANA	0.999998861280332	0.164604670173013	0.999989862604799	0.994514566974755	0.0648389289081221
chr1.28150332	0.837318063108235	0.000317562194433447	0.908356290374232	0.410924073797806	2.29860357864404e-05	0.0394287103610397	0.0252818532285992	-0.000647342762958709	-0.000544847976453349	0.000413427021448207	0.0256798538341248	0.0358450903696782	-0.000682555682705437	12	8	20	0	79	56	23	0.0633546974337525	.	PTAFR	PTAFR	HAVANA	0.999998861280332	0.179391876358219	0.999989862604799	0.999261716678204	0.0640660945532264
chr1.16613312	0.794844850467083	0.000144951092301489	0.828542812538156	0.415040222487562	1.11346000831677e-05	0.00991538340204248	0.0029805522975838	-1.00891712896796e-05	-0.000196286500590203	-0.000125029280689171	0.00486516098107202	-0.000296366331212458	-0.000115155294019909	0	12	12	72	15	0	87	0.00735877331097936	.	NBPF1	NBPF1,AL137798.1,CROCCP2	HAVANA,HAVANA,HAVANA	0.999998861280332	0.133686124266189	0.999989862604799	0.999300280631322	0.0442273039095742
chr1.9606510	0.838880420235735	0.000364814695063843	0.746525716181076	0.607004961288879	3.54077095569042e-05	-0.0403571030846372	-0.012948734342161	-0.000232377135905979	0.000515173956431607	-0.00117451044149582	-0.0275796845034289	-0.0435053554397231	-0.000481411536700329	7	8	15	0	84	57	27	0.159846894333452	.	TMEM201	TMEM201	HAVANA	0.999998861280332	0.186760800360513	0.999989862604799	0.999952590254861	0.0757017843747417
chr1.157074336	0.0982434490917693	2.91889035218504e-05	0.31611660677051	0.0462271856202875	6.8608264197449e-06	0.0276204716941399	0.0677642603608402	-4.84230143422706e-05	-0.000867560749115772	-0.00174691636496057	0.00450794938311109	0.0217188429790867	-0.000960537990078637	0	10	10	64	25	0	89	0.00573630778813511	.	KRT8P45	KRT8P45	HAVANA	0.968014292982164	0.0660236536246864	0.999989862604799	0.957753677250248	0.0337295900425561
chr1.224352642	0.72848494328562	0.000102965553738345	0.601948709246108	0.589596242311121	1.17677688457598e-05	0.00258419562793538	-0.0621430798516892	-0.00218322419235577	0.00192708990716251	0.00292169589988885	0.0526259102753072	0.0143032588261785	-0.000663767493739213	3	2	5	0	94	34	60	0.434687854325868	.	.	CNIH4	HAVANA	0.999998861280332	0.11857139666009	0.999989862604799	0.999952590254861	0.0447946931165262
chr1.143905392	0.985822844234129	0.000431275543266032	0.939128854783197	0.885588065377825	3.2087248235357e-05	-0.0127981478410084	-0.00639430700442918	2.84859467107271e-05	0.000149351887024186	-9.53116292545962e-05	-0.00908157887400339	-0.00887094904997712	3.64477923459339e-05	0	11	11	73	15	0	88	0.0594504183025282	.	HIST2H3PS2	AC239798.2,HIST2H3PS2,AC246680.1	HAVANA,HAVANA,HAVANA	0.999998861280332	0.198323192237022	0.999989862604799	0.999952590254861	0.0722595867247109
chr1.13517507	0.298572571206419	3.29286924145178e-05	0.275659297706707	0.296032650322909	9.25941290110784e-06	0.0175637884685294	-0.127983333704197	-0.00135084489151578	0.00277387226456777	0.00867886896862319	0.0895431063220395	0.0983022706625006	0.00245082053460914	3	1	4	5	90	0	95	0.834984603025867	.	.	LRRC38,AL354712.1	HAVANA,HAVANA	0.999998861280332	0.0692442819095687	0.999989862604799	0.996567763705048	0.0390422670133525
