methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.27153650	0.00280050853930406	0.273645144527678	0.701104613499412	0.000229332495039562	0.105726784800725	-0.0372193221455896	0.0331829929243733	0.0040140165379727	0.00206215431069457	-0.000293342168866784	0.0149663489279073	0.0256329242003736	0.00453365091264183	1	3	4	31	64	0	95	0.547386339728035	.	SLC9A1	SLC9A1	HAVANA	0.529582412467042	0.909257900516641	0.999989862604799	0.591763364651594	0.753133971980025
chr1.5835077	1.06427263760664e-05	0.0190596842404512	0.0320543539326548	2.53566177706251e-05	0.100230768081226	0.480687007252071	0.451462060733661	0.0263137026910516	-0.0176102040336666	-0.019279661031745	0.0246333767002789	-0.0530088363903	0.0150087176143497	14	0	14	1	84	0	85	0.0444781254514095	.	.	.	.	0.0726192965260332	0.584805923182806	0.92353506526368	0.375650982255877	0.746865603835833
chr1.37995279	3.01814808290494e-05	0.0363270051150171	0.0156746220089657	0.000157349608330391	0.403340837233463	-0.582611885719654	-0.00201896477993873	-0.0196484565062171	0.0210655032893715	-0.000739513189639582	-0.0453901763025488	-0.0195874208373956	-0.0136103945094051	0	0	0	0	99	1	98	1	.	.	RNU6-510P,FHL3	ENSEMBL,HAVANA	0.107195298194722	0.667987307238631	0.849609805894802	0.573510684480662	0.90806398330272
chr1.125179764	0.000782548454543131	0.814533918692107	0.536666650894445	7.49734137905784e-05	0.849521648511777	-0.11095296178305	-0.0605501637377513	-0.00898382389771481	0.0046254091910565	0.0026035669944607	0.00822540120277291	0.0079861529929194	-0.0067243442685652	4	1	5	0	94	7	87	0.856697155259278	.	.	.	.	0.36925351585358	0.991819223600085	0.999989862604799	0.494127183627472	0.983881108906212
chr1.1490338	0.0013919367604332	0.829555113108192	0.488560533588722	0.000160602510959877	0.974654787935683	0.0589298436649067	0.109507540071507	-0.00373448955017983	-0.00234866999686355	-0.00432883501280636	-0.00224728064175036	-0.00333037694940194	-0.00582970354965402	14	2	16	0	83	42	41	0.550515079433523	.	ATAD3B	ATAD3B	HAVANA	0.44035143185253	0.992625770917603	0.999989862604799	0.573510684480662	0.997564771655433
chr1.15951051	0.000822055174526488	0.232621556114008	0.148280403833128	0.000397831195614509	0.423038444392049	-0.0914952482681132	-0.191037868540911	-0.00815201055283274	0.00281413590543807	0.00660394130294479	-0.0176282430603384	-0.0168984628373487	-0.00514471161473686	12	6	18	61	20	0	81	0.683496100006841	.	ZBTB17	ZBTB17	HAVANA	0.375817252380349	0.892396083518813	0.999989862604799	0.65691386639098	0.913001494384889
chr1.6345613	0.000842802527782572	0.934923540309483	0.741879040490543	5.42472003354609e-05	0.89018503023455	-0.0221616693993109	-0.114941539797179	0.00907513146862111	0.000477476202330989	0.00450758174030583	-0.00889284476903253	0.00275965625286986	0.0107161813387946	2	0	2	0	97	11	86	0.747680890538036	.	ACOT7	ACOT7	HAVANA	0.377599152983718	0.997597369576781	0.999989862604799	0.47154411981185	0.988687432568677
chr1.31742171	0.00224202394427349	0.836558376338769	0.661012061487727	0.00019158898837294	0.731914985800262	0.120302095688991	0.173804930812935	-0.00796138027413481	-0.00386026975392401	-0.00662359111187975	0.0203685356405343	0.00120038182219278	-0.0113405869298061	2	0	2	0	97	1	96	0.999999999999994	.	ADGRB2	ADGRB2	HAVANA	0.499506592704713	0.992859595678167	0.999989862604799	0.587327403756898	0.969370953663374
chr1.1523382	0.000270248264232534	0.483688074668816	0.231108931163038	6.59903573055921e-05	0.768541413536034	0.0231983066854975	0.117072086937315	-0.00285072332293239	-0.00119371960594999	-0.00469262088085549	-0.00837816974212434	-0.00513993705683043	-0.00478403750203415	3	0	3	0	96	25	71	0.637128703402636	.	ATAD3A	ATAD3A	HAVANA	0.265888329903586	0.959398078043933	0.999989862604799	0.48512004955357	0.973890719950331
chr1.224352745	0.00105816412402303	0.473968250678182	0.225269635438382	0.000308370093480025	0.763838610196303	-0.185127373817745	-0.0682357221095102	-0.00874998988340092	0.00685615995361373	0.00216260314083654	-0.00958856549444926	-0.011246535141469	-0.00598335827185234	1	1	2	0	97	25	72	0.532467532467543	.	.	CNIH4	HAVANA	0.40483943556103	0.958041465509932	0.999989862604799	0.626500027122414	0.97324851519479
