methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.58248320	0.000133222579553601	0.000319709446471377	4.45613292519321e-05	0.541540088097247	0.688455357239332	-0.549223409607021	0.571214406748063	0.000101979974430102	0.0204743577748356	-0.0236037526751962	-0.0290042521100866	-0.041032938582133	-0.00277065223972211	20	0	79	0	79	0	0.66485304413161	.	chr1	58248320	DAB1	DAB1	HAVANA	20	0.205319218522087	0.179919410707288	0.232628953478547	0.999952590254861	0.963168886854039
chr1.203033107	9.42274423021582e-05	0.00012479762844434	0.000118782184011076	0.103982442925388	0.125484960711875	-0.0290040250334013	0.242641027850501	0.00084202882199029	0.00111379398053807	-0.0102075795905092	-0.00301583844962212	-0.0252921365462638	-0.00214238395442206	6	0	93	49	44	0	0.434845363823343	.	chr1	203033107	PPFIA4	PPFIA4	HAVANA	6	0.178720548589694	0.126830177433357	0.313408164289338	0.98103265075909	0.774254845879906
chr1.179589819	0.00014691713748179	0.000201236963689492	5.46057566319496e-05	0.456180084422937	0.377020747926423	-0.133113650741959	0.334451722153772	0.00197163201031762	0.00444559376704235	-0.0133481492541834	-0.0248098685055243	-0.0160363421468789	-0.00141582411848149	1	0	94	4	90	4	0.100097081862063	.	chr1	179589819	.	AL160286.1,AL160286.2,TDRD5	HAVANA,HAVANA,HAVANA	5	0.213284531612097	0.151488001700493	0.249017561183893	0.999648588187554	0.900507209938577
chr1.211207136	5.29959870620224e-06	1.35831363026573e-05	5.0404865045046e-05	0.0129347917650518	0.0354972953459781	-0.00873169129504075	0.427615985862501	0.00110997515166107	-0.000656367750290322	-0.0184770463405903	-0.0311449313794332	-0.0551878480053115	-0.00534953968386927	0	0	98	14	84	1	0.999999999999961	.	chr1	211207136	AC092017.4	AC092017.4,AC092017.1	HAVANA,HAVANA	1	0.0495161079502061	0.0450746611004435	0.24025340127716	0.898653411375766	0.612074404446653
chr1.27005786	0.000373352673113837	0.00130499822097044	0.000166933667396446	0.370015497301649	0.816121037529925	-0.0228909802743922	-0.315400419525915	-0.00308202974574554	0.000417498137588423	0.0120822091795936	-0.0080029357331349	-0.000210055740393028	0.00136089568748304	0	30	65	0	95	4	0.260556331248541	.	chr1	27005786	TENT5B	TRNP1,TENT5B	HAVANA,HAVANA	4	0.297706737911989	0.286761190875248	0.347269592678728	0.998476120342644	0.979789080121531
chr1.27006469	7.72269752703878e-05	0.000111030228626479	2.51451561977798e-05	0.543032594990847	0.433699385891222	0.479545167352247	0.776908636727964	0.0129805434634935	-0.0191279068811353	-0.0286076268394467	-0.0162527427063043	0.0234984914933272	-0.00187274189333998	14	0	84	21	63	1	0.732180996124786	.	chr1	27006469	TENT5B	TENT5B	HAVANA	15	0.165179691579476	0.122291876725336	0.19365892538643	0.999952590254861	0.915714496472042
chr1.124923332	0.000539345382780973	0.000780740648101403	0.000174095594540497	0.6388802981693	0.484206059125204	0.0506635060408761	-0.377834934963594	-0.00479813504457009	-0.00295523332416246	0.0143697815367225	-0.0213620199991037	-0.00498828305456898	-0.000931765952134232	1	0	98	5	93	0	0.292929292929288	.	chr1	124923332	.	.	.	1	0.331176886830505	0.24154933900726	0.350294432726485	0.999952590254861	0.927265902853867
chr1.17408630	8.67160323444206e-05	0.000184119130623426	2.38745768887544e-05	0.753445814116358	0.690937298984825	0.00457702760964998	0.289338216086018	0.00330452764006524	0.000181985113810345	-0.0112609644063233	0.006510214201461	-0.00408300700588485	-0.00040946200265742	0	0	99	18	81	0	1	.	chr1	17408630	RCC2	RCC2-AS1,RCC2	HAVANA,HAVANA	0	0.172875998186449	0.146782964269128	0.19365892538643	0.999952590254861	0.963588406335894
chr1.2107182	8.505412601693e-05	0.000292822260728333	3.63419831445535e-05	0.365005228591901	0.742456651167656	-0.481419570796288	0.220196161492519	0.000165929425934968	0.0183112279572212	-0.0093296359827139	-0.0154881447006093	-0.020557166398983	0.00249644996713361	5	0	94	11	83	0	0.999999999999976	.	chr1	2107182	PRKCZ	PRKCZ	HAVANA	5	0.171404180892645	0.174465595902507	0.220523824237445	0.99845412944903	0.970675411855095
chr1.50426555	1.7696923411003e-05	4.82203489085099e-05	8.60361449419161e-05	0.0280387324512818	0.0770145686946089	0.22446622592838	0.191016596674719	0.00764887900218355	-0.00887695899276367	-0.00801864484886961	-0.00830668677397174	-0.0230857718612548	0.00218249732968788	15	63	16	0	79	5	0.603771245480573	.	chr1	50426555	.	DMRTA2,AL049637.2	HAVANA,HAVANA	20	0.0848581589775794	0.0836799305661697	0.283177437114725	0.937071921148564	0.713546897756916
