chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr10	121593753	121594682	1.82e-10	49	5.91e-16	1e-12	FGFR2	FGFR2	HAVANA
chr7	229225	229778	4.14e-09	37	3.39e-16	1.01e-12	FAM20C,AC145676.1	FAM20C,AC145676.1	HAVANA,HAVANA
chr16	88497594	88497986	1.01e-11	24	3.32e-16	1.43e-12	ZFPM1	ZFPM1	HAVANA
chr17	604210	604464	4.01e-13	16	1.06e-15	7.34e-12	VPS53	VPS53	HAVANA
chr8	6627063	6627284	2.75e-12	18	1.14e-15	8.44e-12	MCPH1,MCPH1-AS1	MCPH1,MCPH1-AS1,MIR8055	HAVANA,HAVANA,ENSEMBL
chr16	8848830	8849343	9.02e-07	15	7.83e-14	2.56e-10	PMM2,AC022167.2	PMM2,AC012173.1,AC022167.2,CARHSP1,AC022167.1	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr8	48428414	48428476	1.19e-09	17	3.96e-14	1.07e-09	AC041040.1	AC041040.1	HAVANA
chr4	1209073	1209452	7.42e-09	52	7.35e-13	3.26e-09	.	SPON2,CTBP1-AS,CTBP1	HAVANA,HAVANA,HAVANA
chr1	1128464	1128837	7.89e-07	17	1.1e-12	4.94e-09	.	.	.
chr8	143738572	143738789	5.35e-10	14	1.22e-12	9.46e-09	IQANK1	FAM83H,IQANK1	HAVANA,HAVANA
chr14	71752305	71752623	1.44e-09	32	2.97e-12	1.57e-08	.	.	.
chr16	86151438	86151734	1.29e-08	28	4.43e-12	2.51e-08	.	.	.
chr11	134046766	134047575	4.67e-05	30	3.57e-11	7.41e-08	AP000911.1	AP000911.1	HAVANA
chr15	101469565	101470010	2.86e-06	36	2.34e-11	8.83e-08	PCSK6	PCSK6	HAVANA
chr6	170445542	170445977	2.81e-07	36	2.89e-11	1.12e-07	.	.	.
chr8	41289479	41289638	3.59e-08	13	1.2e-11	1.26e-07	SFRP1	SFRP1	HAVANA
chr1	1728257	1728369	6.85e-08	14	9.72e-12	1.46e-07	AL031282.2,AL031282.1,SLC35E2A	CDK11A,AL031282.2,AL031282.1,SLC35E2A	HAVANA,HAVANA,HAVANA,HAVANA
chr15	40769784	40770028	5.06e-09	18	2.83e-11	1.95e-07	DNAJC17	GCHFR,DNAJC17,C15orf62	HAVANA,HAVANA,HAVANA
chr13	114004474	114005236	4.51e-05	45	1.46e-10	3.22e-07	RASA3	RASA3	HAVANA
chr6	32092904	32093041	1.52e-06	8	3.43e-11	4.2e-07	TNXB	TNXB	HAVANA
chr20	58889626	58890146	2.67e-08	49	1.3e-10	4.2e-07	GNAS	GNAS,AL121917.1	HAVANA,HAVANA
chr5	125197000	125197081	1.7e-07	10	2.31e-11	4.79e-07	LINC02240	LINC02240	HAVANA
chr7	5443730	5443957	8.61e-08	24	7.19e-11	5.32e-07	FBXL18	FBXL18	HAVANA
chr10	34116831	34116914	1.83e-07	7	2.72e-11	5.51e-07	PARD3	PARD3	HAVANA
chr1	204997016	204997208	5.05e-08	13	7.11e-11	6.22e-07	NFASC	NFASC	HAVANA
chr14	67696208	67696333	1.27e-07	4	4.88e-11	6.55e-07	.	RDH11	HAVANA
chr12	3172390	3172581	1.26e-07	23	7.76e-11	6.82e-07	TSPAN9,AC005912.2	TSPAN9,AC005912.2	HAVANA,HAVANA
chr2	237669618	237669957	1.53e-06	24	1.62e-10	8.01e-07	LRRFIP1	LRRFIP1	HAVANA
chr17	73028276	73028358	2.35e-07	7	4e-11	8.19e-07	SLC39A11	SLC39A11	HAVANA
chr22	50561550	50561669	1.7e-07	6	6.17e-11	8.71e-07	SYCE3	SYCE3	HAVANA
chr2	3465373	3465709	5.91e-06	30	1.97e-10	9.83e-07	TRAPPC12	TRAPPC12	HAVANA
chr20	62370361	62370493	2.06e-07	6	8.36e-11	1.06e-06	.	LAMA5	HAVANA
chr2	3470063	3470423	8.57e-05	14	2.3e-10	1.08e-06	TRAPPC12	TRAPPC12	HAVANA
chr2	148882115	148882399	1.9e-06	17	1.88e-10	1.11e-06	AC105402.3,KIF5C	AC105402.3,KIF5C	HAVANA,HAVANA
chr11	57552324	57552476	2.74e-07	6	1.18e-10	1.3e-06	UBE2L6	SMTNL1,UBE2L6	HAVANA,HAVANA
chr3	11568630	11569187	4.05e-06	47	5.73e-10	1.73e-06	VGLL4	VGLL4	HAVANA
chr2	97728333	97728457	5.19e-07	6	1.38e-10	1.87e-06	ZAP70	ZAP70	HAVANA
chr7	697131	697468	7.09e-06	26	4.44e-10	2.21e-06	PRKAR1B	PRKAR1B	HAVANA
chr16	86087198	86087831	5.55e-07	35	8.89e-10	2.36e-06	AC135012.1	AC135012.1	HAVANA
chr5	1124566	1124788	9.59e-07	22	3.19e-10	2.41e-06	.	.	.
chr17	79978629	79978738	4.67e-07	20	1.63e-10	2.52e-06	TBC1D16	TBC1D16	HAVANA
chr16	737792	738306	0.0003441	25	8.57e-10	2.8e-06	CIAO3	HAGHL,CIAO3	HAVANA,HAVANA
chr15	70474820	70475363	0.000805	34	9.26e-10	2.87e-06	.	.	.
chr16	4000230	4000464	2.02e-07	19	4.26e-10	3.06e-06	ADCY9	ADCY9	HAVANA
chr4	1842935	1843241	1.02e-06	15	5.63e-10	3.09e-06	LETM1	LETM1	HAVANA
chr11	64083603	64083911	4.05e-06	20	5.85e-10	3.19e-06	MACROD1,AP000721.2,AP006333.2	MACROD1,AP000721.2,AP006333.2	HAVANA,HAVANA,HAVANA
chr14	101364533	101364772	1.12e-06	27	4.77e-10	3.35e-06	.	.	.
chr7	157409687	157409783	8.33e-07	10	2.16e-10	3.77e-06	DNAJB6	DNAJB6	HAVANA
chr16	89518307	89518693	5.47e-07	35	8.92e-10	3.88e-06	SPG7	SPG7	HAVANA
chr8	19177327	19177421	1.05e-06	7	2.99e-10	5.35e-06	AC100849.1	AC100849.1	HAVANA
chr16	29185151	29185474	1.37e-07	44	1.12e-09	5.82e-06	AC009093.8,AC009093.10,AC009093.2	AC009093.8,AC009093.10,AC009093.2	HAVANA,HAVANA,HAVANA
chr13	110506572	110506766	1.7e-07	17	7.54e-10	6.53e-06	COL4A2,COL4A2-AS1	COL4A2,COL4A2-AS1	HAVANA,HAVANA
chr16	79658415	79658621	1.91e-07	26	8.05e-10	6.56e-06	.	.	.
chr2	112622042	112622274	1.04e-06	31	1.06e-09	7.64e-06	AC079922.1	AC079922.1	HAVANA
