methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.5835077	1.06427263760664e-05	0.0190596842404512	0.0320543539326548	2.53566177706251e-05	0.100230768081226	0.480687007252071	0.451462060733661	0.0263137026910516	-0.0176102040336666	-0.019279661031745	0.0246333767002789	-0.0530088363903	0.0150087176143497	14	0	14	1	84	0	85	0.0444781254514095	.	.	.	.	0.0726192965260332	0.584805923182806	0.92353506526368	0.375650982255877	0.746865603835833
chr1.37995279	3.01814808290494e-05	0.0363270051150171	0.0156746220089657	0.000157349608330391	0.403340837233463	-0.582611885719654	-0.00201896477993873	-0.0196484565062171	0.0210655032893715	-0.000739513189639582	-0.0453901763025488	-0.0195874208373956	-0.0136103945094051	0	0	0	0	99	1	98	1	.	.	RNU6-510P,FHL3	ENSEMBL,HAVANA	0.107195298194722	0.667987307238631	0.849609805894802	0.573510684480662	0.90806398330272
chr1.203033107	9.42274423021582e-05	0.00012479762844434	0.000118782184011076	0.103982442925388	0.125484960711875	-0.0290040250334013	0.242641027850501	0.00084202882199029	0.00111379398053807	-0.0102075795905092	-0.00301583844962212	-0.0252921365462638	-0.00214238395442206	6	0	6	0	93	49	44	0.434845363823343	.	PPFIA4	PPFIA4	HAVANA	0.178720548589694	0.126830177433357	0.313408164289338	0.98103265075909	0.774254845879906
chr1.211207136	5.29959870620224e-06	1.35831363026573e-05	5.0404865045046e-05	0.0129347917650518	0.0354972953459781	-0.00873169129504075	0.427615985862501	0.00110997515166107	-0.000656367750290322	-0.0184770463405903	-0.0311449313794332	-0.0551878480053115	-0.00534953968386927	0	1	1	0	98	14	84	0.999999999999961	.	AC092017.4	AC092017.4,AC092017.1	HAVANA,HAVANA	0.0495161079502061	0.0450746611004435	0.24025340127716	0.898653411375766	0.612074404446653
chr1.27006469	7.72269752703878e-05	0.000111030228626479	2.51451561977798e-05	0.543032594990847	0.433699385891222	0.479545167352247	0.776908636727964	0.0129805434634935	-0.0191279068811353	-0.0286076268394467	-0.0162527427063043	0.0234984914933272	-0.00187274189333998	14	1	15	0	84	21	63	0.732180996124786	.	TENT5B	TENT5B	HAVANA	0.165179691579476	0.122291876725336	0.19365892538643	0.999952590254861	0.915714496472042
chr1.28886564	2.46875698586476e-05	0.00203333176290172	0.000284213035869486	0.0113106272769182	0.793323722378069	0.262242769931526	0.469780264967329	0.0149197260975819	-0.0102697175227951	-0.0183932754355744	-0.0085441273408883	-0.0152246986000835	0.00531643399035562	17	0	17	31	51	0	82	0.596805714089885	.	.	RF00019,EPB41	ENSEMBL,HAVANA	0.100295082612819	0.329756979401769	0.399716312169212	0.890471209170681	0.977094492688722
chr1.17408630	8.67160323444206e-05	0.000184119130623426	2.38745768887544e-05	0.753445814116358	0.690937298984825	0.00457702760964998	0.289338216086018	0.00330452764006524	0.000181985113810345	-0.0112609644063233	0.006510214201461	-0.00408300700588485	-0.00040946200265742	0	0	0	0	99	18	81	1	.	RCC2	RCC2-AS1,RCC2	HAVANA,HAVANA	0.172875998186449	0.146782964269128	0.19365892538643	0.999952590254861	0.963588406335894
chr1.2107182	8.505412601693e-05	0.000292822260728333	3.63419831445535e-05	0.365005228591901	0.742456651167656	-0.481419570796288	0.220196161492519	0.000165929425934968	0.0183112279572212	-0.0093296359827139	-0.0154881447006093	-0.020557166398983	0.00249644996713361	5	0	5	0	94	11	83	0.999999999999976	.	PRKCZ	PRKCZ	HAVANA	0.171404180892645	0.174465595902507	0.220523824237445	0.99845412944903	0.970675411855095
chr1.50426555	1.7696923411003e-05	4.82203489085099e-05	8.60361449419161e-05	0.0280387324512818	0.0770145686946089	0.22446622592838	0.191016596674719	0.00764887900218355	-0.00887695899276367	-0.00801864484886961	-0.00830668677397174	-0.0230857718612548	0.00218249732968788	15	5	20	63	16	0	79	0.603771245480573	.	.	DMRTA2,AL049637.2	HAVANA,HAVANA	0.0848581589775794	0.0836799305661697	0.283177437114725	0.937071921148564	0.713546897756916
chr1.204618818	2.77591277855916e-06	3.5899454025225e-05	3.21635773416381e-05	0.0123272320558379	0.134542677233606	-0.160638776691569	-0.310753598268445	-0.00972135212400632	0.00694184714277069	0.0126082262699337	0.0230659052491394	0.0234478503270727	-0.00318039470207826	15	1	16	0	83	50	33	0.0729901725838086	.	LRRN2	AL512306.3,LRRN2	HAVANA,HAVANA	0.0361909056551717	0.0721690059670695	0.211563391914568	0.895099006105784	0.783028740345049
