methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	methyl.fdr
chr1.27153650	1.78821989495369e-05	0.876870729212149	0.607467728290562	0.418265752347869	0.594190303030509	0.00363977896294409	0.000223134952185823	-7.64077790166872	-0.0276990014557116	0.0883652510057675	0.0158394880095296	0.0082444177307802	-0.446903293333946	3.15264724115315	1	3	4	29	50	0	79	0.539817807816635	.	SLC9A1	SLC9A1	HAVANA	0.150891578642487
chr1.2269441	4.98442647272512e-07	0.406543596346534	0.932676146404412	0.523946134314572	0.0200292185203875	0.00994400778795501	5.14856283392142e-05	7.31075489779079	-0.136863916194537	-0.0139019602718782	-0.0110643912587416	0.0332858248019056	-0.371839449664659	3.28520044968795	0	1	1	0	82	4	78	0.999999999999994	.	SKI	SKI	HAVANA	0.100149145660369
chr1.8348570	7.02366499508408e-05	0.781636904642282	0.605915149225481	0.454029395028927	0.0120325790478736	0.00554237312319362	0.0208054619772296	-2.96366405492356	0.0511064390520948	0.098253287793865	-0.0144669342909978	0.0412016828638611	-0.46044483159571	2.18921459958887	7	0	7	0	76	6	70	0.891573873590823	.	.	SLC45A1,RERE	HAVANA,HAVANA	0.186222059982273
chr1.156153620	4.6308334284601e-06	0.669688194917071	0.641125582652364	0.184090976342541	0.0185910240568025	0.000981019533925171	3.42440682450011e-06	-2.7954733676511	0.0771295601953369	0.079381860550616	-0.0236394755664207	0.0347573036879035	-0.507374149917478	4.03439929243931	0	2	2	5	76	0	81	0.999999999999975	.	SEMA4A	SEMA4A	HAVANA	0.12964504420484
chr1.1728258	4.91988097550705e-06	0.162688133800778	0.056498015665274	0.370619586562735	0.184946244692111	0.00866956779234239	0.000550827603604987	2.16695050090649	-0.240399329490155	-0.354526634971905	-0.0160003691262143	0.0206846441586912	-0.405917794963096	2.71529921130313	10	0	10	0	73	5	68	0.114075628388354	.	AL031282.2,AL031282.1,SLC35E2A	CDK11A,AL031282.2,AL031282.1,SLC35E2A	HAVANA,HAVANA,HAVANA,HAVANA	0.133294097210656
chr1.2142125	5.20717271286779e-06	0.907118514764589	0.660975214730784	0.237934429404685	0.00184218260427787	0.00783613827073317	0.000473871065637146	13.7813441028986	-0.0200538704122108	-0.0760946496789727	-0.0214484554663183	0.048113244070655	-0.404771254650037	2.81957311147285	0	0	0	0	83	6	77	1	.	PRKCZ,AL590822.2	PRKCZ,AL590822.2	HAVANA,HAVANA	0.136733449272331
chr1.34977245	1.31393392988682e-05	0.294064572299088	0.998959650085716	0.158097765064202	0.00791069160779107	0.000374699285478289	0.00234936127439318	4.99641870227656	-0.179555238466721	-0.000222072045564877	-0.0252972153605981	0.0398146634155716	-0.547899343922782	2.39733942069078	0	1	1	0	82	11	71	0.65060240963856	.	AC114490.3,AC114490.1	AC114490.3,AC114490.1,AC114490.2,TMEM35B	HAVANA,HAVANA,HAVANA,HAVANA	0.146268460140911
chr1.2541673	9.44047356684726e-05	0.616308157030955	0.721339871981454	0.658571805230338	0.091215246987232	0.0239005180683371	0.00047508939664249	-4.04732708270218	-0.0899119580364465	-0.0632549639419948	-0.00867449242717402	0.0266301339660185	-0.355030377341046	2.92917563556861	0	2	2	25	56	0	81	0.206288568909783	.	AL139246.5	AL139246.5	HAVANA	0.191057327711663
chr1.3112506	9.71892425313399e-06	0.138166121134711	0.326360352289364	0.0967178867806714	0.0455911557317937	0.00103626919958359	0.000642135695277987	-2.79752240431227	-0.26388517090645	-0.174032169013349	-0.0304562089081382	0.0305277858373544	-0.517473118816798	2.75281439840908	0	1	1	0	82	0	82	0.65060240963856	.	PRDM16	PRDM16	HAVANA	0.142471413528148
chr1.121053382	8.40783334381749e-05	0.0703594029292894	0.252580291302568	0.0546890149889232	0.0483124443340959	0.0151044442189887	0.00644889711845109	3.73208677072083	-0.34049912520528	-0.214737841245494	-0.037240702085214	0.0309908073518888	-0.388236220462826	2.26991600991195	3	0	3	0	80	18	62	0.999999999999993	.	.	AC241377.2	HAVANA	0.188812397875814
chr1.29280753	1.81140155806431e-05	0.429966610483496	0.257329538770458	0.738638824841451	0.0373098469421767	0.0800791852949406	0.000786531567921326	3.63099713868809	-0.136356994273726	-0.197338754865693	-0.00603947445983694	0.0308385445657941	-0.272723781149145	2.77117276291388	3	1	4	0	79	10	69	0.838936232735825	.	PTPRU	PTPRU	HAVANA	0.150891578642487
chr1.6411426	3.16631734781211e-05	0.924404737957809	0.987322394839396	0.337599114126617	0.00264736940175014	0.0287192939960197	0.000547156018682972	3.40040563592759	-0.0169219436884052	0.00286828329469945	-0.0180976900803894	0.0484341746358541	-0.346824013578488	2.88665582199091	2	0	2	0	81	9	72	0.999999999999975	.	.	HES2	HAVANA	0.166729239094449
chr1.33334573	8.001614711335e-05	0.362096584137342	0.473387537482769	0.384744363621514	0.0499446583186725	0.00194215883849084	0.0135832294865863	2.30058636044607	-0.17213188601737	-0.13124637388874	-0.0172667471829425	0.031156492242176	-0.523437506863512	2.31765403897217	8	1	9	0	74	2	72	0.177047024438945	.	AL513327.1,PHC2	AL513327.1,PHC2,MIR3605,RN7SKP16	HAVANA,HAVANA,ENSEMBL,ENSEMBL	0.18743336442522
chr1.10450442	9.65931017605128e-05	0.714219525003578	0.634852412810721	0.322903358378995	0.0387244420983969	0.0017620683281266	0.00525658579571094	2.73455344693276	-0.0655972031699985	-0.0856642556562692	-0.0188690538287789	0.0326004512522947	-0.499761136422825	2.51754255806385	1	0	1	0	82	3	79	0.65060240963856	.	CENPS-CORT,CORT	CENPS-CORT,CORT	HAVANA,HAVANA	0.192505140167541
chr1.161406775	6.52554935488762e-06	0.478481036967675	0.342760789220114	0.0186156698195713	0.0113383984671338	9.83978943488393e-05	0.00590135265178623	4.57557737172632	0.125921377782561	0.17288757592632	-0.0447045652795384	0.0389051860120129	-0.633179518643847	2.24054959663636	3	0	3	0	80	13	67	0.531295915368786	.	AL592295.4,AL592295.3,AL592295.1	AL592295.4,AL592295.5,AL592295.3,AL592295.1,AL592295.2	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA	0.138121209193557
chr1.93447131	1.88951454525704e-05	0.57562644764017	0.839104022464033	0.290801770515306	0.0215564483852475	0.00212283429507803	0.00218287308974654	-3.31406327326161	-0.0976173268571459	-0.035711514804822	-0.0195458685338984	0.0353426881455878	-0.479079903504882	2.47325840332631	0	0	0	0	83	0	83	1	.	.	FNBP1L	HAVANA	0.151920511935905
chr1.46506789	4.50590871573372e-05	0.250027147476599	0.592855516958168	0.212821901087317	0.0448992660592892	0.00197705955554856	0.0133637461244484	2.1709311007175	-0.214755345594151	-0.0982218357171048	-0.0237702860630842	0.0317190363965128	-0.501095483629801	2.27397139123854	4	0	4	0	79	2	77	0.838936232735825	.	.	DMBX1	HAVANA	0.175926068727191
chr1.120981688	0.000106754962322267	0.539015600552998	0.595298716131482	0.108294590375831	0.0069924260892081	0.00244432126392151	0.00212621502157472	-1.9896695609835	-0.113748611433252	-0.0994362582648265	-0.0312757643271663	0.0441114030229324	-0.501097129319074	2.61992254784319	5	0	5	0	78	0	78	0.734958357666533	.	LINC00623	LINC00623,AC241377.4,AC241377.2	HAVANA,HAVANA,HAVANA	0.197928295557768
chr1.227748658	9.54228624236462e-05	0.65600263779525	0.767574202202584	0.223879397412769	0.00350185645452584	0.00377239945834533	0.0760160900321537	1.90996098183675	0.0870919027912643	0.0593699016466007	-0.0246216893886776	0.0499588222342497	-0.503134514623757	1.8473689290158	15	0	15	1	67	0	68	0.146385472725248	.	SNAP47	SNAP47,SNAP47-AS1	HAVANA,HAVANA	0.192191599104714
chr1.26345470	0.000115743368533747	0.616688460620104	0.869428712543466	0.220574058039516	0.00464090113163441	0.00729455183174776	0.0798259687464558	3.36130598943749	0.0962115627762441	0.0325048511244808	-0.024092927182316	0.048528243132605	-0.471163527079267	1.74730925619127	13	0	13	0	70	6	64	0.803616429592791	.	CRYBG2	CRYBG2	HAVANA	0.201043684574312
chr1.227925388	8.24656178991415e-05	0.833523003216433	0.510733255312936	0.0451262944181733	0.0169101768978126	0.00266293181159629	0.00919860219764505	4.9815664838168	-0.0367779239682052	-0.115603083865974	-0.0370861722776607	0.0361705755377794	-0.463973154850983	2.07212293957618	3	0	3	0	80	16	64	0.999999999999993	.	WNT9A	WNT9A	HAVANA	0.188812397875814
chr1.230642114	4.22033249479596e-05	0.589160724874584	0.779968144365569	0.0707215974326753	0.0366484622078695	0.0120376787638209	0.00055522977840008	-10.4956098712052	-0.103129548911003	0.0540637957456188	-0.0367860555736879	0.0343149408403923	-0.421154397967046	3.0580549528092	4	3	7	45	31	0	76	0.492018228686701	.	.	COG2	HAVANA	0.174018122461361
chr1.2356713	9.79450476930597e-05	0.438204923878432	0.46873245176742	0.97827840838126	0.00676745863133889	0.000452447648180874	0.000677602820473438	2.12110769713458	-0.134549772228027	-0.131320491126034	-0.000520218661001514	0.0415278755621072	-0.572851356057463	2.73153720629262	6	0	6	0	77	10	67	0.310454848104976	.	MORN1	MORN1,AL513477.1	HAVANA,HAVANA	0.192839727041184
chr1.17550940	6.0745468062718e-05	0.53259051440055	0.769195019797579	0.367291078149188	0.087335454901367	0.00674351859480493	0.000229983512530463	-2.49636847223904	-0.111663715270708	-0.0521611279360588	-0.0170625096337108	0.0268206727228263	-0.428027436301366	3.10815153297605	0	1	1	1	81	0	82	0.65060240963856	.	ARHGEF10L	ARHGEF10L	HAVANA	0.180418865637997
chr1.25818946	2.96672317171388e-05	0.150845897061049	0.810470939767708	0.286397875445933	0.0463570194428739	0.0227816010787717	0.024432141588659	2.88519864389871	-0.263744624654532	-0.042868266350994	-0.0199993331699144	0.0311233019229112	-0.359920778713087	1.83939164772732	1	1	2	0	81	0	81	0.999999999999975	.	AL020996.2,AL020996.1,MTFR1L	SELENON,AL020996.2,AL020996.1,MTFR1L	HAVANA,HAVANA,HAVANA,HAVANA	0.16566772936511
chr1.36387390	2.4705456571803e-06	0.420243722250265	0.177391973018048	0.276155369756924	0.0122554097052642	0.0034482366579653	0.000367551039520343	2.48137012972427	-0.140453099499938	-0.248648729925542	-0.0201696218948479	0.0383680400361782	-0.454604008614128	2.97978791904721	3	0	3	2	78	0	80	0.531295915368786	.	.	STK40,LSM10	HAVANA,HAVANA	0.118413749879489
chr1.71090236	5.71100369533368e-06	0.946432835682664	0.536904069491488	0.112484232477122	0.00942726369934649	0.0036142456530312	0.153064405637822	-4.62642549961162	0.0120972194314796	-0.111291009872219	-0.0293144827302999	0.0403453241274597	-0.470327161565635	1.24935283279449	7	2	9	15	59	0	74	0.492743268261347	.	ZRANB2-AS2	ZRANB2-AS2	HAVANA	0.137044752861211
