chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr19	23762861	23763363	1.18e-10	25	5.73e-18	1.88e-14	AC139769.1	ZNF681,AC139769.1	HAVANA,HAVANA
chr19	23914780	23915356	4.16e-10	58	1.45e-15	4.12e-12	ZNF726	ZNF726,AC011503.1	HAVANA,HAVANA
chr19	37289179	37289461	5.38e-13	32	1.07e-13	6.24e-10	AC016590.1	AC016590.1	HAVANA
chr10	48140553	48140634	2.6e-09	8	6.32e-14	1.29e-09	.	.	.
chr19	8526441	8526503	1.45e-08	5	4.94e-13	1.31e-08	MYO1F	MYO1F	HAVANA
chr15	96352230	96352396	6.7e-09	22	2.75e-12	2.72e-08	.	AC087477.2	HAVANA
chr5	50969934	50970034	4.1e-08	2	1.79e-12	2.95e-08	LINC02106,AC008808.1	AC008808.2,LINC02106,AC008808.1	HAVANA,HAVANA,HAVANA
chr3	50275496	50275869	9.28e-09	40	1.14e-11	5.02e-08	SEMA3B	SEMA3B,MIR6872,LSMEM2	HAVANA,ENSEMBL,HAVANA
chr5	68020455	68020779	1.53e-07	63	8.71e-11	4.42e-07	.	.	.
chr16	3029630	3029867	5.58e-09	27	1.38e-10	9.56e-07	BICDL2	THOC6,BICDL2,AC108134.1	HAVANA,HAVANA,HAVANA
chr19	2602566	2602656	7.48e-07	9	5.51e-11	1.01e-06	GNG7	GNG7	HAVANA
chr1	44776401	44776710	0.001141	11	2.18e-10	1.16e-06	RPS8,SNORD46	AL592166.1,RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,SNORD38B,RPS15AP11	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA
chr4	4290841	4290862	2.72e-07	4	1.5e-11	1.18e-06	ZBTB49	LYAR,ZBTB49	HAVANA,HAVANA
chr1	16613211	16613492	2.22e-06	28	3.57e-10	2.09e-06	NBPF1	NBPF1,AL137798.1,CROCCP2	HAVANA,HAVANA,HAVANA
chr19	50428056	50428204	6.73e-07	16	2.44e-10	2.71e-06	AC020909.2,SPIB	AC020909.2,SPIB,MYBPC2	HAVANA,HAVANA,HAVANA
chr12	75391028	75391490	2.13e-05	18	8.8e-10	3.13e-06	GLIPR1L2	CAPS2,GLIPR1L2	HAVANA,HAVANA
chr10	48523440	48523724	4.13e-07	27	8.84e-10	5.12e-06	ARHGAP22	ARHGAP22	HAVANA
chr1	247937024	247937253	1.57e-06	42	7.55e-10	5.42e-06	CLK3P2	OR2AJ1,CLK3P2,OR2X1P	HAVANA,HAVANA,HAVANA
chr18	14178918	14179057	2.54e-06	11	4.6e-10	5.44e-06	.	ANKRD20A5P	HAVANA
chr5	81233234	81233544	0.0003781	18	1.14e-09	6.07e-06	CKMT2-AS1,CKMT2	RASGRF2,CKMT2-AS1,CKMT2	HAVANA,HAVANA,HAVANA
chr7	150322811	150323119	2.47e-06	39	1.8e-09	9.62e-06	ACTR3C,ZBED6CL	ACTR3C,ZBED6CL,LRRC61	HAVANA,HAVANA,HAVANA
chr2	129980480	129980568	5.52e-06	2	7.78e-10	1.45e-05	RAB6C	RAB6C-AS1,RAB6C	HAVANA,HAVANA
chr4	6674817	6675033	0.00202	5	1.93e-09	1.47e-05	AC093323.1	LINC02482,AC093323.1	HAVANA,HAVANA
chr6	57853807	57853988	4.77e-06	8	1.71e-09	1.55e-05	.	AL021368.3	HAVANA
chr3	50237962	50238214	3.85e-06	19	2.45e-09	1.6e-05	GNAI2	GNAI2,U73169.1	HAVANA,HAVANA
chr19	18777223	18777284	4.77e-06	8	6.41e-10	1.73e-05	CRTC1	CRTC1	HAVANA
chr12	111037275	111037439	4.77e-06	22	2.58e-09	2.59e-05	CUX2	CUX2	HAVANA
chr7	75559753	75560040	7.71e-05	37	4.62e-09	2.65e-05	HIP1	HIP1	HAVANA
chr11	537558	537649	1.7e-06	7	1.55e-09	2.81e-05	LRRC56	HRAS,LRRC56	HAVANA,HAVANA
chr7	154928437	154928629	8.65e-06	9	3.72e-09	3.19e-05	PAXIP1-AS2	PAXIP1-AS2	HAVANA
chr10	71377139	71377338	1.39e-05	21	4.48e-09	3.7e-05	SLC29A3	SLC29A3	HAVANA
chr16	53372987	53373570	0.0003439	40	1.64e-08	4.63e-05	AC007342.3,AC007342.4	AC007342.3,AC007342.4	HAVANA,HAVANA
chr19	45217511	45217743	6.73e-07	24	7.74e-09	5.49e-05	MARK4,EXOC3L2	MARK4,BLOC1S3,EXOC3L2	HAVANA,HAVANA,HAVANA
chr16	21555064	21555120	1.09e-05	3	1.94e-09	5.69e-05	.	AC005632.1	HAVANA
chr17	17205869	17206323	4.69e-05	28	1.58e-08	5.74e-05	MPRIP,PLD6,AC055811.2	MPRIP,PLD6,AC055811.2	HAVANA,HAVANA,HAVANA
chr13	21326230	21326499	2.72e-07	49	1.25e-08	7.65e-05	LINC00539	LINC00539	HAVANA
chr17	44354549	44354584	1.03e-05	5	1.8e-09	8.46e-05	FAM171A2	GRN,FAM171A2	HAVANA,HAVANA
chr19	17766697	17766859	6.06e-06	16	8.68e-09	8.81e-05	FCHO1	FCHO1	HAVANA
chr10	50660190	50660356	1.7e-05	17	1e-08	9.93e-05	BEND3P1	BEND3P1	HAVANA
chr19	15377968	15378093	1.07e-05	13	8.58e-09	0.0001128	AKAP8	AKAP8,AC005785.1,AKAP8L	HAVANA,HAVANA,HAVANA
chr1	228458282	228458522	7.12e-05	10	1.75e-08	0.0001198	HIST3H2BB	HIST3H2A,HIST3H2BB,MIR4666A	HAVANA,HAVANA,ENSEMBL
chr16	695687	695855	2.53e-05	25	1.32e-08	0.0001287	FBXL16	Z92544.2,FBXL16	HAVANA,HAVANA
chr2	193203	193438	2.64e-05	23	2.01e-08	0.0001406	.	AC079779.1	HAVANA
chr1	226185446	226185543	3.41e-05	3	8.38e-09	0.0001421	ACBD3	ACBD3,AL592045.1	HAVANA,HAVANA
chr19	640896	641088	1.33e-06	13	1.72e-08	0.000147	FGF22	AC004449.1,FGF22	HAVANA,HAVANA
