methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	methyl.fdr
chr1.27153650	2.49093913940709e-05	0.615977679272478	0.677313812857003	0.449393486661624	0.504297356175229	0.0060902709609108	0.000173399665764534	-10.3468915631228	-0.123948640680153	0.0988397291157699	0.0204390275802345	0.014280315973946	-0.580305488823736	4.43724697418919	1	3	4	29	50	0	79	0.539817807816635	.	SLC9A1	SLC9A1	HAVANA	0.388844499947257
chr1.2269441	1.77004854410545e-05	0.248299438558719	0.870500712674387	0.478075135755033	0.0196253488404865	0.0182625795645169	8.68356240414735e-05	8.68854845847602	-0.272130027291823	-0.038267123330795	-0.0175733917205277	0.0476381005194672	-0.483817418369564	4.52638828484973	0	1	1	0	82	4	78	0.999999999999994	.	SKI	SKI	HAVANA	0.341754258918644
chr1.210325672	0.000316755891442109	0.453111822279158	0.869014835480367	0.645063578222162	0.00632237240485054	0.149672335467132	0.0223036527570279	4.63832441675416	-0.200738829270513	-0.0437387039982882	-0.0126304360515019	0.0617128009148342	-0.342165584374768	2.87474875882283	14	0	14	0	69	12	57	0.665613176923506	.	.	HHAT	HAVANA	0.526357257657484
chr1.8348570	0.000154548859029353	0.940506718414254	0.689863981455592	0.392254171771772	0.0102673264963183	0.0114463878540643	0.0202372963370428	-3.81086517102306	-0.0186927695793394	0.103221100828606	-0.0224764839509559	0.0572827064006621	-0.567621965167954	2.98864637108934	7	0	7	0	76	6	70	0.891573873590823	.	.	SLC45A1,RERE	HAVANA,HAVANA	0.494246823670827
chr1.156153620	2.35389237965865e-05	0.967226717146682	0.722107752675586	0.192394468227718	0.0160214371247665	0.00207352661070576	5.64836630304906e-06	-3.56386633518643	0.0103692339634473	0.0845642648007522	-0.0323941117141054	0.0497194470976189	-0.658885290791909	5.48892346609828	0	2	2	5	76	0	81	0.999999999999975	.	SEMA4A	SEMA4A	HAVANA	0.388844499947257
chr1.228646170	0.0002255071563589	0.166578116369328	0.322354740377141	0.0794520426100123	0.0566725295853536	0.00823286860653575	0.0414480731020257	2.62444999445592	-0.357789315519417	-0.261232956180113	-0.0469365289196035	0.0422888558575066	-0.586807325698723	2.56346181913617	6	0	6	2	75	0	77	0.999999999999992	.	.	RNA5S15,RNA5S16,RNA5S17,RNA5SP18,DUSP5P1	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA	0.505487440609796
chr1.1728258	1.70003394572425e-05	0.0970712248203423	0.0788965785624248	0.280552559602548	0.171305677764864	0.0143744899140872	0.000364336287960573	2.78508546738847	-0.39502808979128	-0.449233521188505	-0.0266172397093132	0.0294332694826232	-0.519897522182119	3.87348070864893	10	0	10	0	73	5	68	0.114075628388354	.	AL031282.2,AL031282.1,SLC35E2A	CDK11A,AL031282.2,AL031282.1,SLC35E2A	HAVANA,HAVANA,HAVANA,HAVANA	0.341754258918644
chr1.2142125	5.12853363240748e-06	0.621625178975341	0.614780846249695	0.23203316467739	0.00140828477326098	0.0116538708756107	0.000278400599498082	18.7027944382617	-0.115121169620947	-0.118431137777571	-0.0294570334556296	0.0669978757569967	-0.519429895674218	3.98965609858973	0	0	0	0	83	6	77	1	.	PRKCZ,AL590822.2	PRKCZ,AL590822.2	HAVANA,HAVANA	0.288004077310507
chr1.34855811	0.000300140814039704	0.349985748953189	0.70505325561801	0.171318449869308	0.0406969310988167	0.115902973309978	0.57921225453713	6.68300194718783	-0.241126661332487	-0.101290988453913	-0.0370970910239777	0.0480348985532208	-0.351782463516465	0.807950571775268	15	0	15	0	68	24	44	0.376137937995856	.	SMIM12	SMIM12,AL122010.1	HAVANA,HAVANA	0.526357257657484
chr1.34977245	6.2899736029513e-05	0.167750439957041	0.945986593025856	0.157323079633292	0.00716622820747542	0.000862216948636043	0.00167795113937208	6.2857694948124	-0.327724504601126	-0.0159751222556156	-0.0350899575346893	0.055845378794598	-0.706684531441284	3.43545297802837	0	1	1	0	82	11	71	0.65060240963856	.	AC114490.3,AC114490.1	AC114490.3,AC114490.1,AC114490.2,TMEM35B	HAVANA,HAVANA,HAVANA,HAVANA	0.451611073582901
