methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	methyl.fdr
chr1.2269441	8.05778063613432e-07	0.970244129420801	0.846746930889191	0.876249504918242	0.0867982098026613	0.0330886379837264	0.0129916820164639	8.49836316338835	-0.0072921261594309	-0.0377974292324595	-0.00320861359137792	0.0288774269337275	-0.362638189407648	2.31123106938686	0	0	82	4	78	1	0.999999999999994	.	chr1	2269441	SKI	SKI	HAVANA	1	0.0761992082777729
chr1.178871164	5.31113965754422e-05	0.291659589066661	0.151619441620277	0.541626124541169	0.174680325896004	0.00796013789254474	0.173741458260484	2.32301616932431	-0.231617265815404	-0.324428925913446	-0.0134481626921895	0.0248989625499593	-0.501688973098151	1.2831972163866	2	0	81	0	81	0	0.999999999999975	.	chr1	178871164	RALGPS2	RALGPS2,ANGPTL1	HAVANA,HAVANA	2	0.118559788386691
chr1.96560516	1.84692494138842e-05	0.735648017120327	0.522936155255842	0.314467375335402	0.244399688284697	0.00536835671730768	0.406080271447417	2.23489366381955	0.0734847542326161	-0.137805342583825	-0.0228015470104349	0.0212819023401454	-0.533700555459927	0.861526883850187	8	0	75	1	74	0	1	.	chr1	96560516	.	.	.	8	0.0992540947175544
chr1.54623581	5.18934095080938e-05	0.237674756981205	0.093752124858037	0.37650689890022	0.123842147059581	0.030251535624278	0.113450030477718	2.2927270139704	-0.25794728850676	-0.376841595734136	-0.0192987882847644	0.0278780017538361	-0.398885271894599	1.48058535556572	1	0	82	0	82	0	0.65060240963856	.	chr1	54623581	ACOT11,AL590093.1	ACOT11,FAM151A,AL590093.1	HAVANA,HAVANA,HAVANA	1	0.118559788386691
chr1.41342127	1.5413655757487e-05	0.306885754079786	0.0699576577598113	0.424500184896605	0.0653955091114763	0.0638837241548934	0.136711679695138	1.89150533570346	-0.216490892992217	-0.407181537013514	-0.0172321152669732	0.0332256507834497	-0.334430286770366	1.3723305607382	1	2	80	1	81	0	0.65060240963856	.	chr1	41342127	.	AC093151.8	HAVANA	1	0.0981404330277979
chr1.116145816	4.78995381859241e-05	0.368073371408289	0.221897100042367	0.426325512995258	0.0775176943948426	0.402935795775435	0.237816463761093	3.95883943765443	-0.210141905708724	-0.282088109038926	-0.0182623311929423	0.0356704818073631	-0.16412541450488	1.43048805264432	10	0	72	10	62	1	0.609363252947315	.	chr1	116145816	.	.	.	11	0.116758630384538
chr1.121053382	2.96445894533811e-05	0.278966911378725	0.201775784532827	0.216819768444339	0.144433521532783	0.0463953844004454	0.174262330507856	4.65574158996083	-0.235845457205294	-0.279747426488533	-0.0277074984252633	0.0265496705445007	-0.368633716791915	1.29468871213544	3	0	80	18	62	0	0.999999999999993	.	chr1	121053382	.	AC241377.2	HAVANA	3	0.108795199804182
chr1.15456744	4.26856885184979e-05	0.714367940003272	0.218862054499037	0.271566322563694	0.148737740751671	0.0246036431150361	0.152185933805923	2.85988833962794	-0.0771206325311203	-0.262764746586293	-0.024005098265053	0.0263319279642621	-0.410033001048285	1.39829659023679	0	0	80	3	77	3	0.103438142815162	.	chr1	15456744	CELA2A	CELA2A	HAVANA	3	0.116758630384538
chr1.92487340	6.00684968649782e-05	0.820393830284762	0.37797277152945	0.219395277942697	0.0160076355267132	0.0244367358223595	0.229027241099552	-2.91921090782402	-0.0471275611950654	-0.186637796358501	-0.0269000937964454	0.0442595349148358	-0.409945137814057	1.12329887256345	0	0	83	0	83	0	1	.	chr1	92487340	.	GFI1	HAVANA	0	0.121190119664852
chr1.41017865	1.4581564922156e-05	0.977914370172067	0.717010823492494	0.245118434422175	0.0834025261283065	0.0147899541986873	0.126431570749307	6.49060094988054	-0.00564744232641994	-0.0751364293259264	-0.025106511668094	0.0311904751363229	-0.43987146733911	1.40895907604956	1	0	82	11	71	0	0.65060240963856	.	chr1	41017865	SLFNL1-AS1,SLFNL1	SLFNL1-AS1,SLFNL1	HAVANA,HAVANA	1	0.0981404330277979
chr1.148265081	1.14142693368535e-05	0.824425002516215	0.814685405458586	0.28535851447083	0.210139842302182	0.0631039245390321	0.150432756249012	-7.23796974419202	0.0469397421233393	-0.0480542153424733	-0.0230300568443577	0.0220341137214601	-0.333699565720893	1.59758918336771	3	22	54	0	76	4	0.492018228686701	.	chr1	148265081	.	RNU1-120P	ENSEMBL	7	0.096971837492501
chr1.6411426	3.29058224220785e-06	0.566043024579919	0.932189634993915	0.632807036150344	0.00786715231256209	0.079736046642499	0.0288254002142053	4.38528600468996	0.116374450363522	-0.0174462856476146	-0.0102173724630401	0.048303444082568	-0.313693000273461	2.02187162470939	2	0	81	9	72	0	0.999999999999975	.	chr1	6411426	.	HES2	HAVANA	2	0.0829296178117843
chr1.184535151	6.30458924900913e-05	0.633918887437961	0.408277089228489	0.671612505762323	0.184613851941779	0.0722805714026368	0.313261286143212	3.11155040232513	0.103911440619611	-0.180462861839404	-0.00951974699728856	0.0244318078711989	-0.343730539436165	0.957279265678217	4	0	79	7	72	0	0.31767558037026	.	chr1	184535151	C1orf21	C1orf21	HAVANA	4	0.121190119664852
chr1.46506789	6.41500712041883e-05	0.583171092517878	0.484089824240446	0.393489453555227	0.137397697425003	0.0105803542737538	0.14635240380151	2.51447739362097	-0.12098437609524	-0.152450842083223	-0.0192392848038762	0.0276652680157554	-0.485376584213952	1.55984285838733	4	0	79	2	77	0	0.838936232735825	.	chr1	46506789	.	DMBX1	HAVANA	4	0.121190119664852
