chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr4	32716247	32716414	3.8e-10	19	1.45e-14	1.46e-10	AC116611.1	AC116611.1	HAVANA
chr16	88497770	88497986	1.52e-10	18	1.12e-13	8.7e-10	ZFPM1	ZFPM1	HAVANA
chr17	83063506	83063648	5.2e-09	17	1.88e-13	2.22e-09	.	.	.
chr12	114699849	114700285	7.91e-08	40	1.21e-12	4.67e-09	AC026765.2	AC026765.2	HAVANA
chr7	102933918	102934080	7.73e-09	22	4.91e-13	5.09e-09	FBXL13,LRRC17	FBXL13,LRRC17	HAVANA,HAVANA
chr6	170134163	170134375	1.44e-08	22	1.28e-12	1.01e-08	.	.	.
chr10	131617157	131617381	4.49e-09	37	5.15e-12	3.86e-08	.	.	.
chr11	68374730	68374870	2.91e-06	7	1.54e-11	1.85e-07	LRP5	LRP5	HAVANA
chr10	2657071	2657239	1.03e-07	20	2.99e-11	2.99e-07	.	.	.
chr15	96341691	96342159	2.69e-06	35	9.4e-11	3.37e-07	.	NR2F2,AC103746.1	HAVANA,HAVANA
chr2	3470063	3470423	1.49e-05	14	1.36e-10	6.34e-07	TRAPPC12	TRAPPC12	HAVANA
chr17	48595520	48596082	2.46e-06	28	2.61e-10	7.81e-07	HOXB3,HOXB-AS3,HOXB6	HOXB3,HOXB-AS3,HOXB5,HOXB6	HAVANA,HAVANA,HAVANA,HAVANA
chr17	48606506	48606805	8.93e-06	16	2.35e-10	1.32e-06	.	HOXB3,HOXB-AS3,HOXB6,HOXB7,HOXB8	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr8	144109690	144109882	6.82e-08	23	1.54e-10	1.35e-06	WDR97	SHARPIN,MAF1,WDR97	HAVANA,HAVANA,HAVANA
chr7	30912022	30912295	1.31e-08	33	2.46e-10	1.51e-06	AC004691.2,AQP1	AC004691.2,AQP1	HAVANA,HAVANA
chr12	114696475	114696743	2.69e-06	32	3.23e-10	2.02e-06	AC026765.2	AC026765.2	HAVANA
chr19	2213890	2214042	4.03e-07	24	2.19e-10	2.42e-06	DOT1L,AC004490.1	DOT1L,AC004490.1	HAVANA,HAVANA
chr7	27129314	27129617	5.07e-06	41	1.01e-09	5.59e-06	HOXA3,HOXA-AS2,HOXA4,AC004080.6	HOXA3,HOXA-AS2,HOXA4,AC004080.6,HOXA-AS3	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr6	25139786	25140018	2.25e-06	47	1.01e-09	7.34e-06	CMAHP,AL133268.1	CMAHP,AL133268.4,AL133268.1	HAVANA,HAVANA,HAVANA
chr12	111076907	111077578	0.000172	31	3.05e-09	7.64e-06	CUX2	CUX2	HAVANA
chr7	27124142	27124377	3.8e-06	35	1.43e-09	1.02e-05	HOXA3,HOXA-AS2	HOXA3,HOXA-AS2,HOXA4,AC004080.6	HAVANA,HAVANA,HAVANA,HAVANA
chr7	5695411	5695565	1.35e-06	12	1.03e-09	1.12e-05	RNF216	RNF216	HAVANA
chr6	100447699	100447993	4.64e-06	35	1.96e-09	1.12e-05	SIM1	SIM1	HAVANA
chr3	87052650	87052859	2.02e-06	26	1.51e-09	1.22e-05	PPATP1	PPATP1	HAVANA
chr10	130301168	130301394	5e-06	27	2.86e-09	2.12e-05	LINC02646	LINC02646	HAVANA
chr17	77242566	77242714	2.25e-06	10	1.88e-09	2.13e-05	.	.	.
chr20	52493429	52493519	5.94e-06	9	1.15e-09	2.14e-05	LINC01524,AL049765.1	LINC01524,AL049765.1	HAVANA,HAVANA
chr4	1593567	1593806	1.98e-06	33	3.65e-09	2.57e-05	.	.	.
chr12	3172390	3172581	1.96e-06	23	3.04e-09	2.67e-05	TSPAN9,AC005912.2	TSPAN9,AC005912.2	HAVANA,HAVANA
chr22	24003921	24004105	5.94e-06	14	3.71e-09	3.38e-05	GSTT4	GSTT4,AC253536.4	HAVANA,HAVANA
chr12	132837740	132837937	9.3e-06	24	7.14e-09	6.09e-05	CHFR	CHFR,RNU6-327P	HAVANA,ENSEMBL
chr1	228609317	228609802	6.53e-05	43	2.07e-08	7.16e-05	.	RNA5S1,RNA5S2,RNA5S3	ENSEMBL,ENSEMBL,ENSEMBL
chr11	44303283	44303531	5.12e-05	28	1.13e-08	7.67e-05	ALX4	ALX4	HAVANA
