chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr6	31870898	31870999	0.01953	8	9.874e-05	0.8065	SLC44A4	SLC44A4	HAVANA
chr13	41424346	41424364	0.03963	3	0.0008451	1	.	.	.
chr3	149656280	149656281	0.0431	1	0.0003498	1	WWTR1	WWTR1,WWTR1-AS1	HAVANA,HAVANA
chr7	84184413	84184414	0.03911	1	0.004726	1	SEMA3A	SEMA3A	HAVANA
chr19	1065634	1065786	0.0107	12	0.0001105	0.705	.	ABCA7,AC004151.1	HAVANA,HAVANA
chr19	55391845	55391846	0.02606	1	0.006593	1	RPL28	RPL28,MIR6805	HAVANA,ENSEMBL
chr5	43020041	43020161	0.009325	12	3.243e-05	0.3649	AC025171.1,AC025171.3	AC025171.1,AC025171.3	HAVANA,HAVANA
chr7	5695411	5695565	0.002276	12	5.207e-06	0.05522	RNF216	RNF216	HAVANA
chr10	132627938	132627941	0.03962	2	0.1799	1	INPP5A	INPP5A	HAVANA
chr4	75902486	75902612	0.008085	10	3.652e-05	0.3854	PPEF2	PPEF2	HAVANA
chr7	155951711	155951900	0.0154	15	0.0001289	0.6819	.	.	.
chr10	346672	346708	0.02606	4	0.0005167	1	DIP2C	DIP2C	HAVANA
chr1	39405116	39405208	0.04419	5	0.0003645	0.9987	MACF1	MACF1	HAVANA
chr3	126858938	126858953	0.03813	2	0.0402	1	CHCHD6	CHCHD6	HAVANA
chr15	58547344	58547457	0.0102	6	5.868e-05	0.582	LIPC	LIPC	HAVANA
chr11	63770037	63770039	0.04449	2	0.1494	1	.	C11orf95	HAVANA
chr6	138292042	138292139	0.007516	10	2.314e-05	0.3301	ARFGEF3	ARFGEF3	HAVANA
chr2	26724319	26724412	0.009839	10	0.0004289	0.9996	KCNK3	KCNK3	HAVANA
chr5	758021	758078	0.01017	6	5.408e-06	0.1473	ZDHHC11B,AC026740.3	ZDHHC11B,AC026740.3	HAVANA,ENSEMBL
chr2	14508328	14508330	0.02396	2	0.0001344	1	.	.	.
chr2	29112926	29112965	0.04306	4	0.0003488	1	CLIP4	CLIP4	HAVANA
chr4	41640994	41641000	0.01174	2	0.004603	1	LIMCH1	LIMCH1	HAVANA
chr3	126487167	126487290	0.004291	4	1.246e-05	0.1564	UROC1	UROC1	HAVANA
chr12	108340000	108340045	0.03729	8	0.0002735	1	.	CMKLR1	HAVANA
chr5	1124566	1124788	0.000126	22	9.88e-08	0.0007473	.	.	.
chr13	32824134	32824264	1.442e-05	10	8.655e-09	0.0001118	.	.	.
chr14	50050873	50050918	0.008523	3	4.531e-06	0.1556	LINC01588,PDLIM1P1	LINC01588,PDLIM1P1,AL117692.1	HAVANA,HAVANA,HAVANA
chr15	30042695	30042697	0.03117	2	0.0002062	1	AC111152.2	AC111152.2,AC111152.3	HAVANA,HAVANA
chr6	25017409	25017450	0.03211	2	0.0002155	0.9999	RIPOR2	RIPOR2,AL160400.1	HAVANA,HAVANA
chr11	64083603	64083846	3.357e-05	13	1.416e-08	9.784e-05	MACROD1,AP000721.2,AP006333.2	MACROD1,AP000721.2,AP006333.2	HAVANA,HAVANA,HAVANA
chr1	3460174	3460253	0.04259	9	0.0003421	0.9993	ARHGEF16	ARHGEF16	HAVANA
chr12	7711480	7711629	0.01503	9	0.0001161	0.7298	DPPA3	DPPA3	HAVANA
chr10	71986981	71987053	0.005793	3	6.608e-05	0.786	CHST3	CHST3	HAVANA
chr1	228208309	228208413	0.001601	5	1.252e-05	0.1831	OBSCN-AS1,OBSCN	OBSCN-AS1,OBSCN	HAVANA,HAVANA
chr11	118531565	118531567	0.04412	2	0.0445	1	TMEM25	KMT2A,AP001267.3,TTC36,TMEM25	HAVANA,HAVANA,HAVANA,HAVANA
chr8	93754203	93754215	0.02454	4	0.01004	1	.	TMEM67	HAVANA
chr17	70050708	70050710	0.001699	2	2.757e-06	0.9013	AC005208.1	AC005208.1,LINC01028,KCNJ16	HAVANA,HAVANA,HAVANA
chr5	54214551	54214565	0.03604	2	0.003445	1	ARL15	ARL15	HAVANA
chr9	136742060	136742216	0.008945	13	3.488e-05	0.3131	LCN10,AL355987.1	LCN10,AL355987.1,LCN6,MIR6722	HAVANA,HAVANA,HAVANA,ENSEMBL
chr16	14400212	14400302	0.001011	7	1.595e-05	0.2575	.	.	.
chr17	76872522	76872613	9.831e-05	6	2.512e-06	0.04531	MGAT5B	MGAT5B	HAVANA
chr5	166083757	166083826	0.02856	4	0.000179	0.9872	.	.	.
chr4	1175442	1175443	0.009641	1	0.1034	1	SPON2	SPON2	HAVANA
chr15	101469565	101470010	2.473e-05	36	6.6e-10	2.491e-06	PCSK6	PCSK6	HAVANA
chr7	151699368	151699459	0.0002242	10	1.646e-07	0.003034	PRKAG2	PRKAG2	HAVANA
chr7	127593688	127593690	0.04179	2	0.01368	1	FSCN3	GCC1,ARF5,FSCN3	HAVANA,HAVANA,HAVANA
chr20	63687164	63687166	0.04616	2	0.7865	1	RTEL1,RTEL1-TNFRSF6B	RTEL1,RTEL1-TNFRSF6B	HAVANA,HAVANA
chr3	123084252	123084313	0.02437	3	0.0001382	0.9778	PDIA5	PDIA5	HAVANA
chr11	73958145	73958422	0.0002515	20	1.06e-05	0.06223	DNAJB13	DNAJB13	HAVANA
chr22	23696308	23696350	0.002666	5	5.08e-06	0.1838	GUSBP11,AP000347.1,RGL4	GUSBP11,AP000347.1,RGL4	HAVANA,HAVANA,HAVANA
chr4	6955348	6955392	0.001826	6	3.041e-06	0.1096	TBC1D14	TBC1D14	HAVANA
chr4	73411982	73412008	0.01468	3	0.004596	1	ALB	ALB	HAVANA
chr21	46033889	46034027	2.573e-06	13	4.278e-07	0.005193	.	AP001476.1	HAVANA
chr11	134643880	134643936	0.02372	5	0.0001751	0.9948	.	.	.
chr7	697221	697468	0.0006062	18	0.0004311	0.9467	PRKAR1B	PRKAR1B	HAVANA
chr2	101113823	101113844	0.03813	3	0.0002835	1	TBC1D8	TBC1D8	HAVANA
chr12	124411470	124411563	0.001467	7	2.214e-06	0.03919	NCOR2	NCOR2	HAVANA
chr16	85124129	85124334	0.006564	29	4.412e-05	0.3034	.	.	.
