chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr19	21082090	21082560	3.99e-05	45	2.27e-12	7.93e-09	ZNF714	ZNF714	HAVANA
chr10	3556208	3556428	2.99e-06	23	3.07e-12	2.29e-08	AL357833.1	AL357833.1	HAVANA
chr14	69685854	69686003	9.59e-06	9	1.11e-11	1.23e-07	SUSD6	SUSD6	HAVANA
chr19	56838817	56839021	4.32e-06	16	1.99e-11	1.6e-07	ZIM2,PEG3	ZIM2,PEG3,MIMT1	HAVANA,HAVANA,HAVANA
chr1	23193507	23193663	7.38e-06	7	4.1e-11	4.32e-07	HTR1D	HTR1D	HAVANA
chr4	1331232	1331387	4.09e-05	10	8.57e-10	9.09e-06	MAEA	MAEA	HAVANA
chr14	103071675	103071852	7.46e-05	16	2.85e-09	2.65e-05	.	.	.
chr5	179256834	179257001	5.81e-05	17	4.77e-09	4.69e-05	ADAMTS2	ADAMTS2	HAVANA
chr17	19344490	19344682	1.82e-05	34	7.85e-09	6.72e-05	B9D1,MIR1180	B9D1,MIR1180	HAVANA,ENSEMBL
chr4	1593567	1593729	9.58e-05	26	9.83e-09	9.98e-05	.	.	.
chr11	2700687	2700764	4.94e-05	10	6.07e-09	0.0001295	KCNQ1	KCNQ1,KCNQ1OT1,RF01950	HAVANA,HAVANA,ENSEMBL
chr6	117548215	117548356	8.92e-05	13	1.18e-08	0.0001374	AL132671.2,DCBLD1	AL132671.2,DCBLD1	HAVANA,HAVANA
chr13	109781586	109781726	6.87e-05	22	1.23e-08	0.0001445	IRS2	IRS2,AL162497.1	HAVANA,HAVANA
chr17	75640090	75640290	5.55e-05	29	2.43e-08	0.0001995	RECQL5,SMIM5	RECQL5,SMIM5	HAVANA,HAVANA
chr16	86878864	86879065	0.0002599	35	2.6e-08	0.0002128	.	.	.
chr11	3049937	3050109	0.0001578	18	3.99e-08	0.0003809	CARS	CARS,RNU1-91P	HAVANA,ENSEMBL
chr1	2405715	2405840	8.4e-05	10	4.64e-08	0.0006102	PEX10	RER1,PEX10	HAVANA,HAVANA
chr16	89759900	89760018	0.0001392	22	4.44e-08	0.0006187	FANCA	FANCA	HAVANA
chr10	1152926	1153124	0.006776	15	7.59e-08	0.0006301	.	.	.
chr16	69742237	69742549	0.01323	34	1.95e-07	0.001029	AC092115.3,NOB1	AC092115.3,NOB1	HAVANA,HAVANA
chr6	20239049	20239183	0.0004451	20	1.15e-07	0.001411	AL158198.1	AL158198.1	HAVANA
chr16	46844601	46844654	0.0004303	6	4.71e-08	0.00146	CKBP1	CKBP1	HAVANA
chr1	38047883	38047998	0.0006685	7	1.08e-07	0.001545	AL139158.2	POU3F1,AL139158.2	HAVANA,HAVANA
chr10	3682224	3682378	0.0004454	19	1.47e-07	0.001571	.	.	.
chr10	95230844	95231168	0.0009264	26	3.2e-07	0.001623	AL157834.2	ACSM6,AL157834.2	HAVANA,HAVANA
chr11	124069836	124070018	0.001151	11	1.99e-07	0.001797	.	.	.
chr16	85295372	85295467	0.002049	20	1.18e-07	0.002031	GSE1,AC092275.1	GSE1,AC092275.1	HAVANA,HAVANA
chr2	47520853	47521018	0.0004543	28	2.51e-07	0.002498	MSH2,KCNK12	MSH2,KCNK12	HAVANA,HAVANA
chr14	40629848	40629994	0.0005634	28	2.68e-07	0.003009	.	AL390800.1	HAVANA
chr1	37995923	37996062	0.0007146	21	3.11e-07	0.003673	.	RNU6-510P,FHL3	ENSEMBL,HAVANA
chr17	82874660	82874774	0.0008952	15	2.56e-07	0.00369	TBCD	TBCD	HAVANA
chr15	98104921	98105030	0.0009385	15	2.47e-07	0.003714	AC022523.1	AC022523.1,LINC01582	HAVANA,HAVANA
chr11	1952932	1953063	0.0007389	18	3.16e-07	0.003961	MRPL23	MRPL23	HAVANA
chr16	3950476	3950685	0.0008275	29	5.93e-07	0.004658	AC005736.1	AC005736.1,ADCY9	HAVANA,HAVANA
chr16	72948046	72948151	0.001018	9	3.38e-07	0.005281	ZFHX3	ZFHX3	HAVANA
chr3	39502216	39502298	0.0001834	6	2.78e-07	0.005559	MOBP,AC092058.1	MOBP,AC092058.1	HAVANA,HAVANA
chr6	18019739	18019945	0.001753	37	8.81e-07	0.007006	.	.	.
chr1	145823594	145823666	0.001341	7	3.48e-07	0.007925	RNF115	RNF115,POLR3C	HAVANA,HAVANA
chr17	7823867	7823962	0.0002351	10	4.62e-07	0.00797	DNAH2	DNAH2	HAVANA
chr7	155257737	155257926	0.004802	17	9.51e-07	0.008243	.	.	.
chr16	70725979	70726100	0.001575	16	6.73e-07	0.009108	VAC14	VAC14	HAVANA
chr11	47449059	47449167	0.0008828	16	6.24e-07	0.00945	RAPSN	RAPSN	HAVANA
chr12	89354949	89355064	0.0002407	14	8.15e-07	0.01159	AC010201.3	DUSP6,AC024909.1,AC010201.3	HAVANA,HAVANA,HAVANA
chr10	120923832	120923981	0.001496	37	1.12e-06	0.01224	.	AC010998.1	HAVANA
chr17	83012923	83013018	0.000918	12	8.46e-07	0.01454	B3GNTL1	B3GNTL1	HAVANA
chr1	154869445	154869516	0.002492	10	6.92e-07	0.01589	KCNN3	KCNN3	HAVANA
chr7	6622677	6622790	0.001461	16	1.21e-06	0.0175	ZNF853	ZNF853	HAVANA
chr14	81412934	81413002	0.002634	3	7.4e-07	0.01774	STON2,DYNLL1P2	STON2,DYNLL1P2	HAVANA,HAVANA
chr22	18048451	18048562	0.003129	15	1.26e-06	0.01847	.	.	.
chr16	89154146	89154282	0.002353	17	1.54e-06	0.01849	ACSF3	ACSF3,LINC00304	HAVANA,HAVANA
chr3	45928332	45928350	0.001276	2	2.3e-07	0.02083	FYCO1	FYCO1	HAVANA
chr16	3690884	3690966	0.0006685	10	1.63e-06	0.03216	TRAP1	TRAP1,AC006111.3	HAVANA,HAVANA
chr19	16067375	16067500	0.002544	18	2.54e-06	0.03291	TPM4	LINC01855,TPM4	HAVANA,HAVANA
chr10	117548135	117548259	0.005847	8	2.99e-06	0.03882	EMX2	EMX2OS,EMX2	HAVANA,HAVANA
chr7	102045336	102045466	0.00318	17	3.15e-06	0.03905	CUX1	CUX1	HAVANA
chr8	144319351	144319415	0.004428	4	1.62e-06	0.04078	DGAT1	HSF1,DGAT1,AC233992.1,MIR6848	HAVANA,HAVANA,HAVANA,ENSEMBL
chr11	11620534	11620693	0.003719	14	4.35e-06	0.04403	GALNT18	GALNT18	HAVANA
chr3	152152493	152152573	0.00378	16	2.26e-06	0.04535	.	AC108718.1	HAVANA
chr1	2257387	2257508	0.00378	10	3.51e-06	0.04661	SKI	SKI	HAVANA
chr12	6478601	6478681	0.005071	11	2.47e-06	0.04949	AC005840.4	AC005840.4	HAVANA
chr10	84214204	84214332	0.0009928	18	4.15e-06	0.05186	CDHR1	CDHR1	HAVANA
chr2	39244307	39244470	0.005529	26	5.43e-06	0.05335	.	MAP4K3	HAVANA
chr15	24427267	24427372	0.007604	23	3.8e-06	0.05776	PWRN1	PWRN1	HAVANA
chr12	114409252	114409444	0.01462	8	6.97e-06	0.05798	TBX5-AS1	TBX5,TBX5-AS1	HAVANA,HAVANA
chr5	2743507	2743618	0.006332	16	4.13e-06	0.05928	.	IRX2	HAVANA
chr9	65283988	65284085	0.01158	9	3.68e-06	0.06043	FOXD4L5	FOXD4L5,CBWD4P	HAVANA,HAVANA
chr14	20801869	20801958	0.002875	7	3.4e-06	0.06091	RNASE1	RNASE1	HAVANA
chr10	132375302	132375402	0.005357	15	3.98e-06	0.06336	LRRC27	LRRC27	HAVANA
chr19	10817820	10817965	0.007332	20	5.84e-06	0.06406	DNM2	DNM2,MIR199A1	HAVANA,ENSEMBL
chr12	9739803	9739953	0.005493	40	6.45e-06	0.0683	.	.	.
chr17	60042688	60042803	0.001114	20	5.3e-06	0.07298	.	MIR4737,HEATR6	ENSEMBL,HAVANA
chr14	71167546	71167635	0.006332	29	4.17e-06	0.07411	.	.	.
chr19	55689025	55689115	0.007399	9	4.23e-06	0.07436	EPN1	EPN1	HAVANA
chr9	38488041	38488143	0.008315	22	5.3e-06	0.08184	AL390726.5,GAS2L1P1	AL390726.5,GAS2L1P1	HAVANA,HAVANA
chr7	148434507	148434572	0.006933	5	3.38e-06	0.0819	.	RN7SL72P	ENSEMBL
chr13	114048493	114048589	0.008555	18	5.02e-06	0.08242	RASA3	RASA3	HAVANA
chr1	55081365	55081463	0.008555	5	5.29e-06	0.08499	USP24	USP24	HAVANA
chr3	36453378	36453539	0.008555	12	8.95e-06	0.08732	STAC	STAC	HAVANA
chr12	121444072	121444146	0.008306	11	4.36e-06	0.09231	KDM2B	KDM2B,MIR7107	HAVANA,ENSEMBL
chr17	21397412	21397517	0.00378	10	6.49e-06	0.09666	KCNJ12	KCNJ12	HAVANA
chr9	89282567	89282690	0.004314	26	8.56e-06	0.1082	.	.	.
chr8	92138525	92138605	0.009198	12	5.63e-06	0.1092	.	.	.
chr1	29134404	29134531	0.01059	14	9.05e-06	0.1106	.	.	.
chr7	159022383	159022465	0.009432	7	5.9e-06	0.1116	LINC00689	LINC00689	HAVANA
chr10	22554612	22554737	0.006093	15	9.47e-06	0.1171	PIP4K2A	PIP4K2A	HAVANA
chr14	19668502	19668636	0.007411	32	1.06e-05	0.1223	AL512310.12,AL512310.5,AL512310.6	AL512310.12,AL512310.5,AL512310.6,AL512310.7	HAVANA,HAVANA,HAVANA,HAVANA
chr11	75428390	75428527	0.007598	23	1.15e-05	0.1285	KLHL35	KLHL35	HAVANA
chr2	91589348	91589412	0.001077	8	5.4e-06	0.1296	.	AC116050.1	HAVANA
chr1	21640003	21640070	0.006332	10	5.7e-06	0.1306	RAP1GAP	RAP1GAP	HAVANA
chr7	129056150	129056211	0.006312	10	5.56e-06	0.1393	TPI1P2	TNPO3,TPI1P2	HAVANA,HAVANA
chr6	75493741	75493883	0.01373	7	1.32e-05	0.1419	FILIP1	FILIP1	HAVANA
chr16	81008595	81008647	0.009124	6	5.37e-06	0.1563	CMC2,CENPN	AC009070.1,CMC2,CENPN	HAVANA,HAVANA,HAVANA
chr14	61864569	61864696	0.001613	13	1.35e-05	0.1599	SYT16	SYT16	HAVANA
chr3	113254618	113254717	0.006902	6	1.06e-05	0.1608	BOC	BOC	HAVANA
chr5	785655	785703	0.009018	2	5.14e-06	0.1615	.	ZDHHC11B	HAVANA
chr1	6445253	6445363	0.01042	12	1.25e-05	0.1702	ESPN,AL031848.1	ESPN,AL031848.1	HAVANA,HAVANA
chr8	307270	307388	0.01388	9	1.38e-05	0.1754	.	AC136777.1	HAVANA
chr10	34119656	34119767	0.01068	29	1.33e-05	0.179	PARD3	PARD3	HAVANA
chr12	58907575	58907628	0.01053	2	6.85e-06	0.1914	LRIG3	LRIG3	HAVANA
chr5	322646	322788	0.004024	19	1.99e-05	0.2059	AHRR,AHRR	AHRR,AHRR	HAVANA,HAVANA
chr7	158915986	158915995	0.02174	2	1.3e-06	0.2118	WDR60	WDR60	HAVANA
chr7	1826220	1826288	0.01291	5	9.85e-06	0.212	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr19	35533464	35533547	0.01915	15	1.21e-05	0.2126	GAPDHS	GAPDHS	HAVANA
chr11	1534783	1534857	0.01388	8	1.14e-05	0.2239	.	.	.
chr5	139482247	139482326	0.00341	9	1.24e-05	0.2276	TMEM173	TMEM173	HAVANA
chr4	1802220	1802303	0.006933	6	1.35e-05	0.2342	FGFR3	FGFR3	HAVANA
chr20	56412021	56412100	0.008555	5	1.37e-05	0.2476	.	CASS4	HAVANA
chr11	1881866	1881948	0.008315	8	1.46e-05	0.2541	LSP1	LSP1,MIR7847	HAVANA,ENSEMBL
chr6	169655188	169655238	0.01366	8	1.04e-05	0.2886	AL031315.1,WDR27	AL031315.1,WDR27	HAVANA,HAVANA
chr17	77242566	77242623	0.01439	7	1.21e-05	0.2942	.	.	.
chr13	48320222	48320309	0.01887	13	1.9e-05	0.3022	RB1,PPP1R26P1	RB1,PPP1R26P1	HAVANA,HAVANA
chr7	57485184	57485205	0.008532	3	4.63e-06	0.3043	AC092175.1	AC092175.1	HAVANA
chr17	44176906	44177013	0.007399	24	2.47e-05	0.3158	ASB16,ASB16-AS1	ASB16,ASB16-AS1	HAVANA,HAVANA
chr8	80231816	80231901	0.01164	22	2.03e-05	0.3252	.	TPD52	HAVANA
chr1	24329471	24329550	0.01661	8	1.9e-05	0.3261	GRHL3	GRHL3	HAVANA
chr7	139781469	139781529	0.01642	2	1.46e-05	0.3302	TBXAS1	HIPK2,TBXAS1	HAVANA,HAVANA
chr11	68796766	68796901	0.02093	19	3.3e-05	0.3311	CPT1A	CPT1A	HAVANA
chr4	8106481	8106572	0.02357	3	2.46e-05	0.3588	ABLIM2	ABLIM2	HAVANA
chr16	3542241	3542247	0.004446	2	1.63e-06	0.3607	NLRC3	CLUAP1,NLRC3,AC004494.1	HAVANA,HAVANA,HAVANA
chr17	7588997	7589076	0.01229	8	2.16e-05	0.3624	MPDU1,SOX15	AC016876.1,MPDU1,SOX15,FXR2	HAVANA,HAVANA,HAVANA,HAVANA
chr2	232409680	232409816	0.006694	42	3.8e-05	0.3684	ALPG	ALPG	HAVANA
chr16	85652380	85652459	0.02191	5	2.39e-05	0.3917	GSE1	GSE1	HAVANA
chr16	64072627	64072704	0.01384	20	2.34e-05	0.3933	.	.	.
chr13	75329954	75330030	0.02174	5	2.32e-05	0.3946	TBC1D4	TBC1D4	HAVANA
chr14	58572222	58572297	0.02174	2	2.31e-05	0.3976	.	.	.
chr15	96984618	96984688	0.02131	9	2.2e-05	0.403	.	.	.
