chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr4	18319108	18319398	8.34e-09	38	1.52e-12	8.62e-09	.	.	.
chr17	82000308	82000493	1.5e-06	12	1.39e-11	1.24e-07	ASPSCR1	ASPSCR1	HAVANA
chr11	85934672	85934778	7.43e-07	18	1.78e-11	2.76e-07	SLC25A1P1	SLC25A1P1	HAVANA
chr10	45224320	45224687	4.18e-07	55	1.89e-10	8.46e-07	.	.	.
chr8	142198015	142198139	2.46e-06	13	1.63e-10	2.15e-06	.	LINC00051	HAVANA
chr10	18951399	18951507	1.5e-06	13	1.68e-10	2.56e-06	.	.	.
chr6	167203477	167203606	1.33e-06	18	2.9e-10	3.69e-06	.	.	.
chr10	86942569	86943076	4.56e-05	58	1.24e-09	4.03e-06	MMRN2	MMRN2	HAVANA
chr9	62800052	62800308	1.14e-05	50	1.08e-09	6.96e-06	.	LINC01410,AL512625.4,RNA5SP283	HAVANA,HAVANA,ENSEMBL
chr5	23951334	23951695	5.21e-05	65	2.85e-09	1.3e-05	C5orf17	C5orf17	HAVANA
chr4	150583497	150583934	3.19e-05	41	5.74e-09	2.16e-05	LRBA,MAB21L2	LRBA,AC110813.1,MAB21L2	HAVANA,HAVANA,HAVANA
chr11	2552796	2552896	1.43e-05	18	2.44e-09	4.01e-05	KCNQ1	KCNQ1	HAVANA
chr16	31224181	31224329	1.33e-06	18	3.72e-09	4.14e-05	TRIM72	TRIM72	HAVANA
chr3	194572507	194572569	3.22e-05	7	3.44e-09	9.12e-05	.	.	.
chr17	9701005	9701099	1.14e-05	10	9.27e-09	0.0001622	USP43	USP43	HAVANA
chr10	44864164	44864339	4.25e-05	26	1.79e-08	0.0001677	TMEM72-AS1	TMEM72-AS1	HAVANA
chr6	110646552	110646967	0.0002307	15	4.87e-08	0.0001929	CDK19,AL512430.1	CDK19,AL512430.1	HAVANA,HAVANA
chr1	45803852	45804059	2.66e-06	70	2.87e-08	0.0002279	MAST2	MAST2	HAVANA
chr4	188412055	188412250	4.25e-05	11	2.83e-08	0.0002386	LINC01060	LINC01060	HAVANA
chr19	57230650	57231056	7.36e-05	27	9.19e-08	0.0003723	AURKC	AURKC	HAVANA
chr5	1594450	1594759	0.0005849	42	9.12e-08	0.000485	SDHAP3,AC026412.3	SDHAP3,AC026412.3,AC091849.1,AC026412.1	HAVANA,HAVANA,HAVANA,HAVANA
chr8	114311321	114311471	5.08e-05	33	7.41e-08	0.0008118	.	.	.
chr16	54282041	54282090	1.04e-05	6	2.74e-08	0.0009177	.	IRX3,AC018553.2	HAVANA,HAVANA
chr3	69677460	69677660	2.99e-05	36	1.52e-07	0.001253	.	.	.
chr10	683919	684073	0.0002712	17	1.19e-07	0.001273	DIP2C	DIP2C	HAVANA
chr2	191846715	191846855	0.0002482	12	1.57e-07	0.001844	CAVIN2,AC098617.1	CAVIN2,AC098617.1	HAVANA,HAVANA
chr10	726404	726523	6.61e-05	15	1.38e-07	0.001898	.	.	.
chr13	22838095	22838216	0.0003342	27	1.55e-07	0.002099	.	IPMKP1	HAVANA
chr20	33667682	33667797	0.0001122	14	1.96e-07	0.002793	NECAB3,ACTL10	NECAB3,C20orf144,ACTL10	HAVANA,HAVANA,HAVANA
chr1	75124716	75124800	0.0006148	10	1.77e-07	0.00346	.	AC099786.3,AC099786.1,LHX8	HAVANA,HAVANA,HAVANA
chr3	75361887	75362068	0.001337	18	4.14e-07	0.00375	OR7E22P	OR7E22P	HAVANA
chr17	19979955	19980132	0.00024	33	4.1e-07	0.003803	.	AKAP10	HAVANA
chr19	12117630	12117830	0.0002992	30	4.87e-07	0.003993	ZNF788P,ZNF20	AC022415.2,ZNF788P,ZNF20	HAVANA,HAVANA,HAVANA
chr2	218873491	218873622	0.0006148	22	3.96e-07	0.004953	WNT6	WNT6	HAVANA
chr14	93232143	93232183	0.0002197	6	1.31e-07	0.005363	.	UBR7	HAVANA
chr13	109744497	109744641	0.0005992	12	4.72e-07	0.005376	.	.	.
chr7	22727667	22727705	0.0005289	6	1.32e-07	0.005705	IL6	STEAP1B,AC073072.1,IL6	HAVANA,HAVANA,HAVANA
chr10	132913112	132913237	0.001072	17	5.68e-07	0.007438	CFAP46	CFAP46	HAVANA
chr7	69394810	69394940	0.0008299	10	6.04e-07	0.007615	AC092100.1	AC092100.1	HAVANA
chr7	137268080	137268196	0.001135	15	5.93e-07	0.008373	PTN	PTN	HAVANA
chr2	206251289	206251393	0.00144	5	5.77e-07	0.009074	GPR1-AS	GPR1-AS	HAVANA
chr7	1587562	1587653	0.0004642	9	6.07e-07	0.01091	PSMG3-AS1	PSMG3-AS1	HAVANA
chr10	128928346	128928516	0.0009472	22	1.25e-06	0.012	.	.	.
chr16	1692245	1692325	0.00192	10	7.24e-07	0.01477	JPT2	JPT2,AL031009.1	HAVANA,HAVANA
chr2	128319658	128319791	0.0007301	26	1.3e-06	0.01597	.	HS6ST1	HAVANA
chr1	1294158	1294290	0.0009809	20	1.33e-06	0.01637	ACAP3	SCNN1D,ACAP3,MIR6726	HAVANA,HAVANA,ENSEMBL
chr13	22736009	22736151	0.00205	15	1.45e-06	0.01662	.	.	.
chr17	82927579	82927602	0.02919	3	2.56e-07	0.01811	TBCD	TBCD	HAVANA
chr7	6871322	6871422	0.0008108	14	1.16e-06	0.01893	.	OR7E136P	HAVANA
chr2	91656428	91656582	0.002318	16	1.88e-06	0.01984	LSP1P4	LSP1P4	HAVANA
chr7	130492005	130492228	0.002771	44	2.79e-06	0.02039	MEST	MESTIT1,MEST,RF02148,RF02149,RF02150,AC007938.2,MIR335	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA,ENSEMBL
chr2	53859846	53859952	0.0001645	11	1.37e-06	0.02104	ASB3,GPR75	ASB3,GPR75,PSME4	HAVANA,HAVANA,HAVANA
chr1	148157942	148158045	0.0005874	11	1.41e-06	0.0223	AC239803.1	AC239803.1,AC239809.3	HAVANA,HAVANA
chr19	33905236	33905311	0.002447	6	1.1e-06	0.02378	.	AC008556.1	HAVANA
chr7	56447969	56448108	0.002113	24	2.6e-06	0.0303	AC092447.7	AC092447.7	HAVANA
chr4	183987252	183987281	0.002195	3	5.98e-07	0.03332	STOX2	STOX2,AC074194.1	HAVANA,HAVANA
chr7	105624096	105624190	0.003311	15	2.16e-06	0.03702	ATXN7L1	ATXN7L1	HAVANA
chr7	102300707	102300739	0.001924	7	7.34e-07	0.03702	SH2B2	SH2B2	HAVANA
chr7	42227658	42227786	0.004004	13	2.96e-06	0.03726	GLI3	GLI3	HAVANA
chr2	176201181	176201284	0.002108	20	2.55e-06	0.03991	AC016739.1	AC016739.1	HAVANA
chr10	95230783	95230875	0.001841	6	2.28e-06	0.03998	AL157834.2	ACSM6,AL157834.2	HAVANA,HAVANA
chr1	144324336	144324467	0.0005099	11	3.95e-06	0.04833	.	.	.
chr6	34531590	34531713	0.002126	18	3.79e-06	0.04943	PACSIN1	PACSIN1	HAVANA
chr22	43421238	43421391	0.0009809	25	5.05e-06	0.05285	MPPED1	MPPED1	HAVANA
chr13	46438084	46438166	0.02828	15	2.78e-06	0.05418	RUBCNL	RUBCNL,PPP1R2P4	HAVANA,HAVANA
chr6	1993823	1993903	0.004663	3	2.71e-06	0.05423	GMDS	GMDS	HAVANA
chr8	10697879	10698027	0.002595	33	5.18e-06	0.05594	RP1L1,C8orf74	RP1L1,C8orf74	HAVANA,HAVANA
chr3	141077191	141077343	0.001954	13	5.93e-06	0.06214	SPSB4	SPSB4	HAVANA
chr2	131395300	131395469	0.0004754	18	6.6e-06	0.0622	MED15P3	MED15P3,AC073869.4	HAVANA,HAVANA
chr1	8232555	8232643	0.0005077	12	3.8e-06	0.06848	.	.	.
chr11	33891523	33891621	0.005734	5	4.24e-06	0.06869	LMO2	LMO2	HAVANA
chr5	9623204	9623278	0.005526	3	3.57e-06	0.07625	AC026787.1	AC026787.1	HAVANA
chr7	23490791	23490896	0.0006277	18	5.14e-06	0.0774	RPS2P32	RPS2P32,RF00019	HAVANA,ENSEMBL
