methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.2051619	0.127222731880265	4.30340699956822e-05	0.0920552746509982	0.344750787100606	5.05917464314831e-05	-0.107561073695664	0.162220245354644	0.00209480047653024	0.00844170704485045	-0.00566725897246259	0.107127922455905	0.0152302346559951	0.00253992494651514	16	3	19	27	53	0	80	0.531023612727234	.	PRKCZ	AL391845.1,PRKCZ	HAVANA,HAVANA	0.987030580206997	0.0790835929101689	0.997141421322541	0.998322991398967	0.0888093151715041
chr1.158071522	0.00129144869210266	5.13982254240469e-05	0.000594454731513079	0.385031448184864	0.0124540984537762	0.366966496157141	0.762483466650925	0.00966324879021745	-0.010534476997954	-0.0276245052831785	0.0929034137342982	0.0439646405741793	-0.00283748464481702	3	1	4	0	95	4	91	0.547386339728035	.	KIRREL1	KIRREL1	HAVANA	0.43243755795163	0.086994293231176	0.481652493783086	0.99875023453961	0.487395984233873
chr1.44776685	0.124458506350423	1.19221946354784e-06	0.216817629452328	0.102993929641414	3.78454844757298e-07	-0.0967668493851079	0.0250076349055795	0.00142442441060312	0.00758066683232232	-0.000320129324495909	0.0974350652260755	0.0171242815914104	0.003379339970367	5	0	5	24	70	0	94	0.999999999999976	.	RPS8	AL592166.1,RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,SNORD38B,RPS15AP11	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA	0.985846354916355	0.0137099652384641	0.999989862604799	0.98103265075909	0.00732168983210327
chr1.68295748	0.000914723636489951	2.18874003960053e-05	0.000403588899847548	0.405029062474283	0.00915877259169798	-0.271947483835255	0.132250670238604	-0.00199468643812148	0.00870308201210836	-0.00609827398355479	-0.0502011588533232	-0.0245944768497593	-0.00142369718776877	16	1	17	0	82	45	37	0.596805714089885	.	.	.	.	0.385791673178784	0.056553311544638	0.431798897425506	0.999188326550467	0.455814821547301
chr1.211207136	5.29959870620224e-06	1.35831363026573e-05	5.0404865045046e-05	0.0129347917650518	0.0354972953459781	-0.00873169129504075	0.427615985862501	0.00110997515166107	-0.000656367750290322	-0.0184770463405903	-0.0311449313794332	-0.0551878480053115	-0.00534953968386927	0	1	1	0	98	14	84	0.999999999999961	.	AC092017.4	AC092017.4,AC092017.1	HAVANA,HAVANA	0.0495161079502061	0.0450746611004435	0.24025340127716	0.898653411375766	0.612074404446653
chr1.22143798	0.000522137041750251	3.50880514137695e-07	0.000871852612841162	0.0796191569228935	9.06261862608082e-05	0.0147498395876123	-0.0540739092461284	-0.000126487932923306	-0.000437523988510551	0.00269867730933928	0.00460361437648392	0.0162943314839266	0.00070958291851675	2	9	11	70	18	0	88	0.263405003575437	.	WNT4,AL445253.1	WNT4,AL445253.1	HAVANA,HAVANA	0.328106662604195	0.0081267534719013	0.520328759852492	0.975538833443586	0.111943737931134
chr1.144551171	0.00344598614362858	1.62823852266103e-05	0.00116973914133444	0.734265771983176	0.00244071160748861	0.0874752061339998	-0.0680728786439754	-0.000208981064162802	-0.00261484158829755	0.00303613342911076	0.0231843335684189	0.0122107817159921	0.000239893948302913	6	10	16	64	19	0	83	0.0168351904521924	.	.	RF00003	ENSEMBL	0.5545410565268	0.0495154103846013	0.553968044666766	0.999952590254861	0.326188291594559
chr1.157074336	0.0982434490917693	2.91889035218504e-05	0.31611660677051	0.0462271856202875	6.8608264197449e-06	0.0276204716941399	0.0677642603608402	-4.84230143422706e-05	-0.000867560749115772	-0.00174691636496057	0.00450794938311109	0.0217188429790867	-0.000960537990078637	0	10	10	64	25	0	89	0.00573630778813511	.	KRT8P45	KRT8P45	HAVANA	0.968014292982164	0.0660236536246864	0.999989862604799	0.957753677250248	0.0337295900425561
chr1.113979611	0.000574034337065488	4.73716453849609e-06	0.00422426061238963	0.0158373984513106	0.000191329081027436	0.0054701439515984	-0.0795209169451089	0.000168042953922555	-0.000380242395297719	0.00385999341844763	-0.00287511901144938	0.0207953801140882	0.00152700282828997	5	8	13	68	18	0	86	0.316075720870792	.	OLFML3	HIPK1,OLFML3	HAVANA,HAVANA	0.337496186395094	0.028286599372677	0.701476560544609	0.910058034027803	0.150323867511319
chr1.13517507	0.298572571206419	3.29286924145178e-05	0.275659297706707	0.296032650322909	9.25941290110784e-06	0.0175637884685294	-0.127983333704197	-0.00135084489151578	0.00277387226456777	0.00867886896862319	0.0895431063220395	0.0983022706625006	0.00245082053460914	3	1	4	5	90	0	95	0.834984603025867	.	.	LRRC38,AL354712.1	HAVANA,HAVANA	0.999998861280332	0.0692442819095687	0.999989862604799	0.996567763705048	0.0390422670133525
