chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr8	29116865	29116982	0.001158	22	1.139e-05	0.1509	KIF13B,AC108449.1	KIF13B,AC108449.1	HAVANA,HAVANA
chr1	68358706	68358782	0.02107	6	0.001023	1	.	.	.
chr1	219784707	219784866	0.02171	5	0.0008029	0.9998	SLC30A10	SLC30A10	HAVANA
chr2	120104135	120104194	0.04732	2	0.001832	1	EPB41L5	EPB41L5	HAVANA
chr1	55527106	55527147	0.02569	4	0.0007224	1	AL603840.1	AL603840.1	HAVANA
chr12	22048856	22048963	0.004	3	7.959e-05	0.7134	CMAS	CMAS	HAVANA
chr5	178396821	178396956	0.004105	14	0.0002275	0.941	COL23A1	COL23A1	HAVANA
chr17	39041480	39041573	0.01293	8	0.0002652	0.9917	LRRC37A11P	LRRC37A11P	HAVANA
chr1	119438321	119438410	0.04452	3	0.001666	1	.	GAPDHP74,HSD3BP2	HAVANA,HAVANA
chr6	169205475	169205551	0.04353	4	0.00161	1	.	.	.
chr10	48526779	48526831	0.007481	7	0.000119	0.9786	ARHGAP22	ARHGAP22	HAVANA
chr3	19933992	19934024	0.046	2	0.001749	1	EFHB	EFHB	HAVANA
chr6	36120582	36120648	0.0001336	5	3.249e-07	0.008235	.	.	.
chr19	55851310	55851419	0.03685	6	0.003363	1	NLRP4	NLRP4	HAVANA
chr20	62841852	62841992	0.002868	12	0.0001095	0.7312	TCFL5	COL9A3,TCFL5,DPH3P1	HAVANA,HAVANA,HAVANA
chr16	88195113	88195225	0.0001632	9	5.976e-07	0.008923	LINC02182	LINC02182,AC134312.6	HAVANA,HAVANA
chr1	33345259	33345260	0.01697	1	0.0003953	1	AL513327.1,PHC2	AL513327.1,PHC2	HAVANA,HAVANA
chr1	248003531	248003587	0.03957	2	0.001389	1	OR2L6P	OR2L6P	HAVANA
chr13	50779856	50779857	0.03854	1	0.02213	1	DLEU1,DLEU7	DLEU1,DLEU7	HAVANA,HAVANA
chr1	227559665	227559849	0.02014	21	0.0009495	0.9998	.	RNA5SP77,ZNF678	ENSEMBL,HAVANA
chr4	183329222	183329280	0.02646	7	0.0007534	1	.	.	.
chr2	232551643	232551726	0.01148	10	0.0002224	0.9889	EIF4E2	CHRNG,TIGD1,MIR5001,EIF4E2	HAVANA,HAVANA,ENSEMBL,HAVANA
chr17	1462718	1462978	2.046e-05	24	1.932e-07	0.001247	CRK	CRK,MYO1C	HAVANA,HAVANA
chr1	106084066	106084084	0.04334	2	0.001598	1	AL355306.2	AL355306.2,AL355306.1	HAVANA,HAVANA
chr13	112833396	112833477	0.03735	8	0.001271	1	ATP11A	ATP11A	HAVANA
chr6	170096730	170096816	0.005028	3	0.001788	1	AL603783.1	AL603783.1	HAVANA
chr2	173416349	173416373	0.02631	3	1.259e-06	0.08433	.	.	.
chr8	52389043	52389299	1.948e-05	16	7.304e-07	0.004781	ST18	ST18	HAVANA
chr14	104600508	104600536	0.02304	2	0.06424	1	TMEM179	TMEM179	HAVANA
chr8	123791699	123791772	0.01172	5	0.0002292	0.9949	FAM91A1	FAM91A1	HAVANA
chr19	42088809	42088942	6.37e-05	11	1.054e-06	0.01322	POU2F2	POU2F2	HAVANA
chr17	964469	964622	0.001081	7	2.503e-05	0.2403	NXN	NXN	HAVANA
chr8	57255600	57255601	0.0359	1	0.03082	1	.	.	.
chr1	236129745	236129747	0.03668	2	0.001235	1	AL122018.2	AL122018.2	HAVANA
chr6	32212094	32212196	0.02317	3	0.002541	1	NOTCH4	NOTCH4	HAVANA
chr2	66697277	66697280	0.01135	2	0.0002188	1	LINC01798,LINC01797	LINC01798,LINC01797	HAVANA,HAVANA
chr7	98034553	98034666	0.01049	24	0.0006446	0.9999	.	.	.
chr2	65403125	65403155	0.03132	6	0.0009716	1	SPRED2	SPRED2	HAVANA
chr2	23620871	23620964	0.009449	10	0.0001669	0.951	KLHL29	KLHL29,AC011239.2	HAVANA,HAVANA
chr17	81839266	81839332	0.004942	6	0.0005982	1	.	PPP1R27,P4HB,AC145207.3	HAVANA,HAVANA,HAVANA
chr8	143910370	143910371	0.04678	1	0.2223	1	.	PLEC	HAVANA
chr4	183256476	183256537	0.02277	3	0.0006082	1	WWC2	WWC2	HAVANA
chr17	28721616	28721692	0.000338	3	1.289e-06	0.02808	RPL23A,AC010761.2	RAB34,RPL23A,SNORD42B,AC010761.2,SNORD4A,SNORD42A,SNORD4B,TLCD1,AC010761.1	HAVANA,HAVANA,ENSEMBL,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA,HAVANA
chr8	20517994	20518096	0.03742	6	0.004844	1	.	.	.
chr17	62648737	62648798	0.04915	2	0.001941	1	AC080038.1	AC080038.1	HAVANA
chr2	230759268	230759333	0.04042	5	0.001434	1	CAB39	CAB39	HAVANA
chr5	1671805	1671914	0.01805	5	0.0005198	0.9997	.	.	.
chr9	94724746	94724838	0.0002545	6	8.651e-07	0.01567	.	AL157936.1,AOPEP	HAVANA,HAVANA
chr10	111075103	111075181	0.005771	4	0.0002045	0.9878	.	ADRA2A	HAVANA
chr2	71024535	71024595	0.01491	5	0.001364	1	AC007881.2,OR7E91P	AC007881.2,OR7E91P	HAVANA,HAVANA
